"household_id","n_parcelles","n_parcelles_valides","superficie_totale_ha"
39040,3,2,0.218485997
39041,3,2,0.164176
39042,1,1,0.21213
39043,3,1,0.086109003
39044,8,6,0.620887999
39045,5,3,0.106259999
39048,3,1,0.023497
39053,1,0,NA
39054,1,0,NA
39057,1,1,0.015156
39059,3,2,0.051682
39061,5,2,0.066758999
39064,5,3,0.18433
39066,3,2,0.206713998
39068,1,0,NA
39069,3,1,0.030592
39070,3,1,0.033393
39071,8,5,0.477246003
39072,4,2,0.138110001
39074,4,4,0.285075002
39077,3,3,0.14382
39078,1,0,NA
39079,9,4,0.239810999
39080,6,3,0.157566
39081,7,4,0.167050001
39082,3,2,0.251835001
39083,2,2,0.051745
39084,7,0,NA
39087,7,1,0.40823
39088,5,1,0.038596
39089,10,1,0.032198
39090,8,7,0.233213001
39091,2,2,0.080547
39092,1,1,0.050301999
39093,4,1,0.11185
39096,3,1,0.23423999
39098,2,2,0.136517001
39101,4,1,0.072359
39102,8,4,0.328652
39103,13,7,0.308313001
39104,1,1,0.014417
39105,10,3,0.133851999
39106,5,4,0.120756001
39107,4,3,0.105358001
39108,4,3,0.240784001
39110,2,2,0.122738001
39111,1,0,NA
39112,5,1,0.049806
39114,6,3,0.0672470004
39115,2,1,0.030216
39116,4,4,0.365898
39118,3,1,0.18836
39119,1,1,0.024598
39120,3,1,0.040516
39121,4,0,NA
39123,1,0,NA
39125,4,0,NA
39126,2,0,NA
39127,2,2,0.104588999
39128,4,3,0.044059999
39130,3,2,0.031177
39132,3,3,0.369517
39133,2,2,0.115189002
39135,2,2,0.192258999
39136,4,3,0.1250020002
39137,6,5,0.223510997
39138,4,4,0.340783998
39139,4,4,0.340845002
39140,6,5,0.742407978
39141,1,1,0.035376999
39142,4,2,0.053171999
39143,1,1,0.011018
39144,3,2,0.053513999
39146,8,7,0.249222999
39147,2,2,0.074361
39149,3,3,0.173240003
39150,2,2,0.243516001
39151,5,3,0.144372
39152,3,2,0.048921999
39153,5,3,0.130521002
39154,3,2,0.082359
39155,4,2,0.054532
39156,6,5,0.174380001
39157,1,1,0.031267001
39158,2,1,0.035478
39159,4,4,0.2129289999
39160,4,4,0.2873859992
39161,3,2,0.142065999
39162,4,0,NA
39165,7,2,0.065806002
39166,3,3,0.093467002
39167,1,0,NA
39169,3,1,0.056559003
39170,4,4,0.319558
39171,10,6,0.593975002
39174,5,3,0.287807001
39175,4,4,0.22698
39176,3,3,0.228566999
39177,2,2,0.070312001
39178,5,5,0.238975994
39185,2,0,NA
39186,7,2,0.105273
39187,1,0,NA
39188,3,1,0.038206
39190,3,2,0.236668991
39193,4,2,0.094266
39198,1,0,NA
40011,1,0,NA
40012,1,0,NA
40015,2,0,NA
40017,1,0,NA
40018,1,0,NA
40019,2,0,NA
40020,2,0,NA
40171,2,0,NA
40172,3,2,0.019583001
40173,3,0,NA
40174,4,2,0.0232619999
40176,6,2,0.095489999
40177,6,0,NA
40178,2,1,0.070035999
40180,3,0,NA
40202,5,1,0.20203
40203,1,0,NA
40204,1,0,NA
40206,6,0,NA
40207,2,1,0.081754999
40208,4,2,0.258487
40209,3,2,0.106995002
40210,2,0,NA
49001,2,2,0.066295
49003,2,1,0.031951999
49004,5,1,0.066548999
49005,5,3,0.073088
49006,2,0,NA
49007,3,3,0.855024
49008,2,2,0.30166601
49009,5,3,0.76923
49010,3,1,0.15711
49011,3,3,0.593300001
49013,4,1,0.015839
49015,6,2,0.148053002
49017,1,0,NA
49018,4,0,NA
49019,4,3,0.131314002
49023,5,3,0.195230997
49024,1,0,NA
49025,3,2,0.0485130008
49026,4,0,NA
49027,5,2,0.080320001
49034,2,2,0.0283919999
49035,5,2,0.110616003
49036,4,0,NA
49037,4,2,0.046146999
49038,13,3,0.095821
49039,3,2,0.095912
49040,3,2,0.044429998
49041,4,2,0.069863
49042,6,2,0.36957699
49043,1,0,NA
49044,8,1,0.071185999
49045,6,1,0.11714
49046,5,3,0.032315002
49049,2,0,NA
49051,3,0,NA
49052,1,0,NA
49055,4,0,NA
49057,1,0,NA
49058,1,0,NA
49060,2,0,NA
49063,1,0,NA
49064,1,0,NA
49068,1,0,NA
49070,2,0,NA
49071,1,0,NA
49073,2,0,NA
49076,4,0,NA
49077,2,1,0.000462
49079,1,0,NA
49080,3,0,NA
49081,1,0,NA
49082,1,0,NA
49083,1,0,NA
49085,3,1,0.0082019997
49086,4,2,0.039590998
49088,1,0,NA
49090,5,0,NA
49091,2,0,NA
49093,4,1,0.0061290001
49094,2,1,0.024869
49095,3,1,0.046920001
49097,3,3,0.099102999
49100,7,5,0.303079
49101,5,1,0.0036860001
49102,5,3,0.091833
49103,4,3,0.129048
49104,4,3,0.291521999
49105,6,1,0.12875
49106,3,2,0.171390002
49108,4,3,0.140335999
49111,6,4,0.404851001
49112,4,1,0.091072998
49113,4,3,0.218760001
49114,6,1,0.029879999
49118,1,0,NA
49122,1,0,NA
49124,2,1,0.043317999
49126,6,1,0.015664999
49129,11,0,NA
49130,7,2,1.66236
49131,11,4,2.18087002
49132,10,1,0.0073370003
49133,5,1,0.66955
49134,6,1,0.51283999
49135,3,2,0.0272479999
49136,6,0,NA
49137,6,2,0.013713
50001,5,3,2.87998
50002,6,6,3.30227998
50003,8,6,2.835130011
50004,8,7,3.42592999
50005,4,1,0.32678
50006,8,7,2.85704001
50007,7,4,1.87162002
50008,7,5,2.30135996
50009,10,8,6.58437997
50031,3,3,1.50900994
50032,4,2,0.27113
50033,9,5,3.165757001
50034,5,4,3.10286
50035,7,5,5.223106992
50036,7,4,3.96715994
50037,4,4,0.517697999
50038,5,4,1.595223971
50039,3,2,1.93474004
50040,6,5,5.12917001
50051,8,7,3.82818999
50052,5,3,2.36690996
50053,6,4,2.71388004
50054,5,5,3.60396999
50055,4,3,0.93844
50056,6,5,1.85187705
50057,9,9,2.807107008
50058,3,2,0.66458
50059,6,4,4.04751997
50060,6,5,1.020207001
50091,7,5,5.09592998
50092,7,4,4.29187002
50093,4,2,3.08421001
50094,4,3,4.52436001
50095,5,4,1.69173997
50097,10,9,5.18298001
50098,2,0,NA
50099,8,6,8.38476003
50100,5,4,2.24907001
50131,4,3,1.914586998
50132,6,5,2.47072002
50133,6,5,7.78840698
50134,6,4,4.11121502
50135,5,3,2.17371802
50136,6,5,4.37227998
50137,3,2,0.80476498
50138,4,3,2.74597999
50139,4,3,1.88989
50140,1,0,NA
50151,3,2,0.83111098
50152,4,4,1.998007
50153,5,2,1.23920598
50154,4,2,0.48964001
50155,5,4,2.75420998
50156,3,2,1.73387998
50157,4,3,1.32814
50158,2,2,0.60417
50159,7,5,7.3024
50160,3,1,0.096692999
50161,5,4,4.22341997
50162,2,2,2.5571
50163,3,2,1.49338999
50164,3,2,1.04545
50165,2,1,0.35581001
50166,3,2,1.32363003
50167,5,4,2.85564004
50168,3,2,1.0982
50169,3,2,1.97098999
50170,4,3,2.12793008
59003,1,0,NA
59005,7,5,1.16721999
59006,4,0,NA
59009,2,0,NA
59011,1,0,NA
59012,2,2,0.59565998
59013,4,3,1.13072
59014,2,1,0.32521001
59015,5,3,1.35118999
59016,8,7,4.038757988
59017,6,5,1.401671979
59018,8,7,1.87027301
59021,3,2,0.56117001
59022,7,6,1.706777
59023,6,5,1.55763998
59024,7,6,1.49855001
59025,4,3,5.4378
59026,2,2,4.5921
59027,3,2,2.6023
59028,4,4,3.21208999
59030,4,3,3.65007998
59031,4,3,4.0758
59032,4,3,3.59432998
59034,4,3,4.23220996
59035,3,2,1.53341001
59036,4,3,2.38902002
59037,6,5,5.2962
59039,3,2,1.77083
59040,3,2,4.3209
59041,3,2,6.8692
59042,2,2,4.0033
59043,2,2,2.39172998
59044,2,2,2.25128999
59046,4,3,5.20795
59047,5,4,6.12184004
59048,5,4,1.88640002
59049,3,2,3.9386
59050,4,3,6.8541
59052,3,2,4.2989
59054,2,2,2.1741
59056,2,2,2.2465
59057,2,2,3.4358
59058,3,2,4.19828999
59059,6,5,5.30302002
59060,3,2,5.6446
59062,2,1,2.9464
59063,3,2,2.64786
59064,3,2,5.6343
59066,2,2,2.41532998
59067,1,1,4.8336
59068,3,3,6.42077
59069,3,2,3.7313
59070,4,3,5.4052
59071,2,1,2.3281
59072,4,3,2.69195
59073,6,6,4.55221199
59075,6,5,3.91982599
59076,4,3,1.59981001
59077,9,8,2.568743043
59078,5,4,1.08179999
