"identifiant_menage","nb_parcelles","nb_parcelles_valides","superficie_totale_ha","poids_menage","etat","region","zone_residence","log1p_tot_ha"
49133,5,5,6,2856.33056640625,"Anambra","South East","Urbain",1.94591014905531
49134,6,6,2.254273,2856.33056640625,"Anambra","South East","Urbain",1.17996890202018
49135,3,3,0.0684,2856.33056640625,"Anambra","South East","Urbain",0.0661622022536688
49136,6,6,1.3218795,2856.33056640625,"Anambra","South East","Urbain",0.842376987010938
49137,6,6,1.020265,2856.33056640625,"Anambra","South East","Urbain",0.703228690927516
50001,5,5,3.484,3861.2998046875,"Bauchi","North East","Rural",1.50051550520991
50002,6,6,1.94,3861.2998046875,"Bauchi","North East","Rural",1.07840958135059
50003,8,8,5.22,3861.2998046875,"Bauchi","North East","Rural",1.82776990675109
50004,8,8,6.1,3861.2998046875,"Bauchi","North East","Rural",1.96009478404727
50005,4,4,3.05,3861.2998046875,"Bauchi","North East","Rural",1.39871688111845
50006,8,8,14.07,3861.2998046875,"Bauchi","North East","Rural",2.7127060126384
50007,7,7,8,3861.2998046875,"Bauchi","North East","Rural",2.19722457733622
50008,7,7,5.175,3861.2998046875,"Bauchi","North East","Rural",1.82050888251404
50009,10,10,4.58,3861.2998046875,"Bauchi","North East","Rural",1.71918877639322
50010,1,0,NA,NA,"Bauchi","North East","Rural",NA
50031,3,3,1.44,3350.51025390625,"Bauchi","North East","Rural",0.89199803930511
50032,4,4,4.624,3350.51025390625,"Bauchi","North East","Rural",1.72704315450836
50033,9,9,30.292343,3350.51025390625,"Bauchi","North East","Rural",3.44337343503082
50034,5,5,4.7,3350.51025390625,"Bauchi","North East","Rural",1.7404661748405
50035,7,7,16.865266,3350.51025390625,"Bauchi","North East","Rural",2.88285838081317
50036,7,7,3.98,3350.51025390625,"Bauchi","North East","Rural",1.60542989103656
50037,4,4,1.6,3350.51025390625,"Bauchi","North East","Rural",0.955511445027436
50038,5,5,5.05,3350.51025390625,"Bauchi","North East","Rural",1.80005827204275
50039,3,3,21.6,3350.51025390625,"Bauchi","North East","Rural",3.11794990627824
50040,6,6,11.7,3350.51025390625,"Bauchi","North East","Rural",2.54160199346455
50051,8,8,2.64,828.726806640625,"Bauchi","North East","Rural",1.29198368164865
50052,5,5,3.4,828.726806640625,"Bauchi","North East","Rural",1.48160454092422
50053,6,6,4.325,828.726806640625,"Bauchi","North East","Rural",1.67241271159549
50054,5,5,4.2,828.726806640625,"Bauchi","North East","Rural",1.64865862558738
50055,4,4,2.2,828.726806640625,"Bauchi","North East","Rural",1.16315080980568
50056,6,6,9.027387,828.726806640625,"Bauchi","North East","Rural",2.30532004958835
50057,9,9,3.38,828.726806640625,"Bauchi","North East","Rural",1.47704872438835
50058,3,3,1.30655,828.726806640625,"Bauchi","North East","Rural",0.835752901647674
50059,6,6,33.01,828.726806640625,"Bauchi","North East","Rural",3.5266545990191
50060,6,6,4.025,828.726806640625,"Bauchi","North East","Rural",1.61442545394514
50091,7,7,5.28,5016.93701171875,"Bauchi","North East","Rural",1.83736998048011
50092,7,7,7.52,5016.93701171875,"Bauchi","North East","Rural",2.14241634084122
50093,4,4,2.3,5016.93701171875,"Bauchi","North East","Rural",1.19392246847243
50094,4,4,2.32,5016.93701171875,"Bauchi","North East","Rural",1.1999647829284
50095,5,5,2.7,5016.93701171875,"Bauchi","North East","Rural",1.30833281965018
50096,1,0,NA,5016.93701171875,"Bauchi","North East","Rural",NA
50097,10,10,7.08491,5016.93701171875,"Bauchi","North East","Rural",2.08999936124169
50098,2,2,1.6,5016.93701171875,"Bauchi","North East","Rural",0.955511445027436
50099,8,8,6.8,5016.93701171875,"Bauchi","North East","Rural",2.05412373369555
50100,5,5,3.292,5016.93701171875,"Bauchi","North East","Rural",1.45675282476845
50131,4,4,0.8625,3646.14331054688,"Bauchi","North East","Rural",0.621919671271578
50132,6,6,2.43343,3646.14331054688,"Bauchi","North East","Rural",1.23355976151093
50133,6,6,7.12,3646.14331054688,"Bauchi","North East","Rural",2.09433015417359
50134,6,6,6.6,3646.14331054688,"Bauchi","North East","Rural",2.02814824729229
50135,5,5,3.2,3646.14331054688,"Bauchi","North East","Rural",1.43508452528932
50136,6,6,3.924517,3646.14331054688,"Bauchi","North East","Rural",1.59422619874878
50137,3,3,0.47,3646.14331054688,"Bauchi","North East","Rural",0.385262400790645
50138,4,4,2.6625,3646.14331054688,"Bauchi","North East","Rural",1.29814597434319
50139,4,4,1.906087,3646.14331054688,"Bauchi","North East","Rural",1.06680750275914
50140,1,1,0.809372,3646.14331054688,"Oyo","North Central","Urbain",0.59297982374676
50151,3,3,0.62,4832.69482421875,"Bauchi","North East","Rural",0.482426149244293
50152,4,4,1.14,4832.69482421875,"Bauchi","North East","Rural",0.76080582903376
50153,5,5,3.42,4832.69482421875,"Bauchi","North East","Rural",1.48613969608961
50154,4,4,1.21,4832.69482421875,"Bauchi","North East","Rural",0.792992515529661
50155,5,5,5.065,4832.69482421875,"Bauchi","North East","Rural",1.80253454239601
50156,3,3,1.275,4832.69482421875,"Bauchi","North East","Rural",0.821980052402914
50157,4,4,0.61,4832.69482421875,"Bauchi","North East","Rural",0.476234178996372
50158,2,2,0.27,4832.69482421875,"Bauchi","North East","Rural",0.2390169004705
50159,7,7,3.1825,4832.69482421875,"Bauchi","North East","Rural",1.43090915387884
50160,3,3,1,4832.69482421875,"Bauchi","North East","Rural",0.693147180559945
50161,5,5,1.61,2241.45092773438,"Bauchi","North East","Rural",0.959350221334602
50162,2,2,1.56,2241.45092773438,"Bauchi","North East","Rural",0.940007258491471
50163,3,3,1.405,2241.45092773438,"Bauchi","North East","Rural",0.877549903557725
50164,3,3,1.405,2241.45092773438,"Bauchi","North East","Rural",0.877549903557725
50165,2,2,0.657,2241.45092773438,"Bauchi","North East","Rural",0.505008738444426
50166,3,3,1.205,2241.45092773438,"Bauchi","North East","Rural",0.790727508898809
50167,5,5,2.05,2241.45092773438,"Bauchi","North East","Rural",1.11514159061932
50168,3,3,0.93,2241.45092773438,"Bauchi","North East","Rural",0.657520002916794
