"hhid","nombre_parcelle","superficie_totale_menage","wt_wave4","secteur","state","state_label","zone"
29024,3,2.605,1407.2490234375,"Rural",2,"2. Adamawa","2. North East"
29025,4,2.645,794.480407714844,"Rural",2,"2. Adamawa","2. North East"
29026,2,1.4,794.480407714844,"Rural",2,"2. Adamawa","2. North East"
29028,2,2,794.480407714844,"Rural",2,"2. Adamawa","2. North East"
29029,4,3.045,794.480407714844,"Rural",2,"2. Adamawa","2. North East"
29031,3,2.06,794.480407714844,"Rural",2,"2. Adamawa","2. North East"
29032,5,5.26,794.480407714844,"Rural",2,"2. Adamawa","2. North East"
29033,4,2.45,794.480407714844,"Rural",2,"2. Adamawa","2. North East"
29034,4,6.045,794.480407714844,"Rural",2,"2. Adamawa","2. North East"
29035,3,2.045,794.480407714844,"Rural",2,"2. Adamawa","2. North East"
29036,3,1.24,794.480407714844,"Rural",2,"2. Adamawa","2. North East"
29037,2,3.01,3840.7978515625,"Rural",2,"2. Adamawa","2. North East"
29038,2,2.01,3840.7978515625,"Rural",2,"2. Adamawa","2. North East"
29039,3,4.01,3840.7978515625,"Rural",2,"2. Adamawa","2. North East"
29041,3,5.2003,3840.7978515625,"Rural",2,"2. Adamawa","2. North East"
29042,2,2.03,3840.7978515625,"Rural",2,"2. Adamawa","2. North East"
29044,3,2.01,3840.7978515625,"Rural",2,"2. Adamawa","2. North East"
29045,3,5.62,3840.7978515625,"Rural",2,"2. Adamawa","2. North East"
29046,4,2.9,3840.7978515625,"Rural",2,"2. Adamawa","2. North East"
29047,5,14.8,3840.7978515625,"Rural",2,"2. Adamawa","2. North East"
29048,4,5.523,3840.7978515625,"Rural",2,"2. Adamawa","2. North East"
29050,4,3.01,890.635192871094,"Rural",2,"2. Adamawa","2. North East"
29051,3,3.01,890.635192871094,"Rural",2,"2. Adamawa","2. North East"
29052,3,1.41,890.635192871094,"Rural",2,"2. Adamawa","2. North East"
29053,3,1.61,890.635192871094,"Rural",2,"2. Adamawa","2. North East"
29054,3,3.9,890.635192871094,"Rural",2,"2. Adamawa","2. North East"
29055,3,2.015,890.635192871094,"Rural",2,"2. Adamawa","2. North East"
29056,3,2.4,890.635192871094,"Rural",2,"2. Adamawa","2. North East"
29057,3,3.1,890.635192871094,"Rural",2,"2. Adamawa","2. North East"
29058,3,4.025,890.635192871094,"Rural",2,"2. Adamawa","2. North East"
29060,4,3.015,890.635192871094,"Rural",2,"2. Adamawa","2. North East"
29061,3,1.445,1820.69848632812,"Rural",2,"2. Adamawa","2. North East"
29062,3,0.80016,1820.69848632812,"Rural",2,"2. Adamawa","2. North East"
29063,4,3.8,1820.69848632812,"Rural",2,"2. Adamawa","2. North East"
29064,5,6.4,1820.69848632812,"Rural",2,"2. Adamawa","2. North East"
29065,3,2.4001,1820.69848632812,"Rural",2,"2. Adamawa","2. North East"
29066,4,1.645,1820.69848632812,"Rural",2,"2. Adamawa","2. North East"
29068,5,3.245,1820.69848632812,"Rural",2,"2. Adamawa","2. North East"
29070,5,3.29,1820.69848632812,"Rural",2,"2. Adamawa","2. North East"
29071,6,2.045,1820.69848632812,"Rural",2,"2. Adamawa","2. North East"
29072,3,1.8,1820.69848632812,"Rural",2,"2. Adamawa","2. North East"
29073,4,3.448,1788.39514160156,"Rural",2,"2. Adamawa","2. North East"
29074,4,6.89,1788.39514160156,"Rural",2,"2. Adamawa","2. North East"
29076,2,1.8,1788.39514160156,"Rural",2,"2. Adamawa","2. North East"
29077,2,1.255,1788.39514160156,"Rural",2,"2. Adamawa","2. North East"
29078,3,1.29,1788.39514160156,"Rural",2,"2. Adamawa","2. North East"
29079,3,0.845,1788.39514160156,"Rural",2,"2. Adamawa","2. North East"
29080,4,3.045,1788.39514160156,"Rural",2,"2. Adamawa","2. North East"
29082,3,2.045,1788.39514160156,"Rural",2,"2. Adamawa","2. North East"
29083,5,5.445,1788.39514160156,"Rural",2,"2. Adamawa","2. North East"
29084,2,1.045,1788.39514160156,"Rural",2,"2. Adamawa","2. North East"
29085,3,1.44,4453.15234375,"Rural",2,"2. Adamawa","2. North East"
29086,4,1.204,4453.15234375,"Rural",2,"2. Adamawa","2. North East"
29087,5,2.245,4453.15234375,"Rural",2,"2. Adamawa","2. North East"
29089,2,1.245,4453.15234375,"Rural",2,"2. Adamawa","2. North East"
29090,3,4.05,4453.15234375,"Rural",2,"2. Adamawa","2. North East"
29091,3,2.09,4453.15234375,"Rural",2,"2. Adamawa","2. North East"
29092,2,1.29,4453.15234375,"Rural",2,"2. Adamawa","2. North East"
29094,4,6.4,4453.15234375,"Rural",2,"2. Adamawa","2. North East"
29095,2,2.4,4453.15234375,"Rural",2,"2. Adamawa","2. North East"
29096,2,1.4,4453.15234375,"Rural",2,"2. Adamawa","2. North East"
29097,2,1.048,1218.99694824219,"Rural",2,"2. Adamawa","2. North East"
29099,4,2.845,1218.99694824219,"Rural",2,"2. Adamawa","2. North East"
29100,3,0.845,1218.99694824219,"Rural",2,"2. Adamawa","2. North East"
29101,3,1.445,1218.99694824219,"Rural",2,"2. Adamawa","2. North East"
29102,3,1.845,1218.99694824219,"Rural",2,"2. Adamawa","2. North East"
29103,3,1.27,1218.99694824219,"Rural",2,"2. Adamawa","2. North East"
29104,3,1.69,1218.99694824219,"Rural",2,"2. Adamawa","2. North East"
29105,3,1.24,1218.99694824219,"Rural",2,"2. Adamawa","2. North East"
29107,2,0.40505,1218.99694824219,"Rural",2,"2. Adamawa","2. North East"
29108,3,1.445,1218.99694824219,"Rural",2,"2. Adamawa","2. North East"
29109,3,7.02,1328.25122070312,"Rural",2,"2. Adamawa","2. North East"
29110,2,2.02,1328.25122070312,"Rural",2,"2. Adamawa","2. North East"
29111,3,3.01,1328.25122070312,"Rural",2,"2. Adamawa","2. North East"
29112,3,2.015,1328.25122070312,"Rural",2,"2. Adamawa","2. North East"
29113,3,2.815,1328.25122070312,"Rural",2,"2. Adamawa","2. North East"
29115,3,4.51,1328.25122070312,"Rural",2,"2. Adamawa","2. North East"
29116,4,5.025,1328.25122070312,"Rural",2,"2. Adamawa","2. North East"
