"zone_ru","state","n_menages","total","type_engrais","taux","ic_lo","ic_hi"
"Rural",11,19218.580078125,471920.761474609,"Urée",0.0407241673752025,0.0401639836837713,0.0412918280626936
"Rural",14,74496.2878417969,592804.42199707,"Urée",0.125667564339061,0.124826183962915,0.126513796140957
"Rural",15,139265.12487793,218133.02935791,"Urée",0.638441254347708,0.636422615586353,0.640455017121106
"Rural",17,123638.318969727,418382.967773438,"Urée",0.295514704213961,0.294134018449545,0.296899144981288
"Rural",18,647609.298583984,868008.154052734,"Urée",0.746086653172892,0.745169927936453,0.747001200255689
"Rural",19,734738.147216797,996525.701904297,"Urée",0.737299746321404,0.736434748425159,0.738162914714028
"Rural",20,524528.823974609,666269.072753906,"Urée",0.787262752278988,0.786278433842053,0.788243758235376
"Rural",21,53839.9926757812,383332.530273438,"Urée",0.140452449045679,0.139356134849162,0.141555969378701
"Rural",22,15916.6274414062,128842.141113281,"Urée",0.123535881225475,0.121750367254527,0.125343843260087
"Rural",23,13410.7444458008,282058.137451172,"Urée",0.0475460292228667,0.0467668321306002,0.0483375504383896
"Rural",25,9605.255859375,286844.47265625,"Urée",0.0334859367183477,0.0328338039800611,0.0341505645244118
"Rural",26,34251.8798828125,532316.007324219,"Urée",0.0643450120070326,0.0636890092943,0.0650073024834104
"Rural",30,3903.0849609375,426153.474365234,"Urée",0.00915887161720607,0.00887724870148537,0.00944934359364764
"Rural",31,372091.490234375,836723.779296875,"Urée",0.444700508627895,0.443635998161362,0.445765526859951
"Rural",32,29593.9609375,816258.015625,"Urée",0.0362556451158893,0.0358523112188309,0.0366633439231224
"Rural",33,102201.558837891,491590.815673828,"Urée",0.207899650642989,0.206767543234064,0.209036323160371
"Rural",34,111011.082763672,436723.647705078,"Urée",0.254190684079096,0.252901516482717,0.255484175957267
"Rural",35,54679.0014648438,264866.08996582,"Urée",0.206440173115025,0.204903012895076,0.2079858484426
"Rural",36,98884.5532226562,814627.249511719,"Urée",0.12138625768034,0.120678869180301,0.12209721694785
"Rural",37,1750.54724121094,35283.658203125,"Urée",0.0496135415192265,0.0473964166792788,0.0519287260715497
