hhid,region,etat,lga,zone_residence,ea,cluster,strate,wt_wave4,identifiant_parcelle,superficie_declaree,superficie_gps_m2,superficie_parcelle,unite_superficie,mode_acquisition,superficie_ha_standard,superficie_ha_heaps,superficie_ha_ridges,superficie_ha_stands,area_ha,area_gps_ha,diff_ha,sous_estime,outlier,area_ha_propre
10097,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,1,NA,1252.8,350,1,Héritage,NA,0.0665,NA,NA,0.0665,0.12528,0.05878,TRUE,FALSE,0.0665
10097,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,2,NA,252.78,450,1,Héritage,NA,0.0855,NA,NA,0.0855,0.025278,-0.06022200000000001,FALSE,FALSE,0.0855
10097,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,3,NA,318.94,400,1,Héritage,NA,0.076,NA,NA,0.076,0.031894,-0.044106,FALSE,FALSE,0.076
10097,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,4,NA,NA,1,5,Propriété pleine,0.404686,NA,NA,NA,0.404686,NA,NA,NA,FALSE,0.404686
10098,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,1,NA,NA,1,5,Héritage,0.404686,NA,NA,NA,0.404686,NA,NA,NA,FALSE,0.404686
10099,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,1,NA,330.14001,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.033014001,-0.371671999,FALSE,FALSE,0.404686
10100,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,1,NA,1082.8,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.10828,-0.296406,FALSE,FALSE,0.404686
10100,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,2,NA,280.26001,1,5,Prêt,0.404686,NA,NA,NA,0.404686,0.028026001000000002,-0.37665999899999997,FALSE,FALSE,0.404686
10100,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,3,NA,657.59998,1,5,Prêt,0.404686,NA,NA,NA,0.404686,0.065759998,-0.338926002,FALSE,FALSE,0.404686
10100,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,5,NA,NA,1,5,Propriété pleine,0.404686,NA,NA,NA,0.404686,NA,NA,NA,FALSE,0.404686
10102,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,1,NA,847.65002,3500,1,Héritage,NA,0.665,NA,NA,0.665,0.084765002,-0.580234998,FALSE,FALSE,0.665
10102,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,2,NA,965.77002,4000,1,Héritage,NA,0.76,NA,NA,0.76,0.09657700200000001,-0.663422998,FALSE,FALSE,0.76
10102,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,3,NA,NA,1000,1,Héritage,NA,0.19,NA,NA,0.19,NA,NA,NA,FALSE,0.19
10103,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,1,NA,917.65002,350,1,Héritage,NA,0.0665,NA,NA,0.0665,0.091765002,0.025265001999999995,TRUE,FALSE,0.0665
10103,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,2,NA,3957.6001,400,1,Héritage,NA,0.076,NA,NA,0.076,0.39576001,0.31976001,TRUE,FALSE,0.076
10103,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,3,NA,NA,782.69,7,Héritage,0.078269,NA,NA,NA,0.078269,NA,NA,NA,FALSE,0.078269
10104,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,1,NA,2081.2,250,1,Héritage,NA,0.0475,NA,NA,0.0475,0.20811999999999997,0.16061999999999999,TRUE,FALSE,0.0475
10104,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,2,NA,NA,462.72,7,Héritage,0.046272,NA,NA,NA,0.046272,NA,NA,NA,FALSE,0.046272
10105,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,1,NA,5816,300,1,Héritage,NA,0.057,NA,NA,0.057,0.5816,0.5246,TRUE,FALSE,0.057
10105,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,2,NA,4897.8999,400,1,Location,NA,0.076,NA,NA,0.076,0.48978999,0.41378999,TRUE,FALSE,0.076
10105,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,3,NA,NA,468.32,7,Héritage,0.046832,NA,NA,NA,0.046832,NA,NA,NA,FALSE,0.046832
10106,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,1,NA,5403.6001,350,1,Héritage,NA,0.0665,NA,NA,0.0665,0.54036001,0.47386001,TRUE,FALSE,0.0665
10106,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,2,NA,4540.5,450,1,Héritage,NA,0.0855,NA,NA,0.0855,0.45405,0.36855,TRUE,FALSE,0.0855
10106,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,3,NA,3434.7,362,1,Héritage,NA,0.06878000000000001,NA,NA,0.06878000000000001,0.34347,0.27469,TRUE,FALSE,0.06878000000000001
10106,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,4,NA,NA,786.68,7,Héritage,0.078668,NA,NA,NA,0.078668,NA,NA,NA,FALSE,0.078668
10107,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,1,NA,NA,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10107,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,2,NA,3398.8999,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,0.33988999,0.13754698999999998,TRUE,FALSE,0.202343
10108,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,1,NA,381.41,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.038141,-0.366545,FALSE,FALSE,0.404686
10108,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,2,NA,NA,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10109,South East,Abia,108,Rural,904,108-904,4,5453.29833984375,1,NA,4869.2998,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.48692998,0.08224398,TRUE,FALSE,0.404686
