"identifiant_menage","superficie_totale_ha","superficie_gps_totale_ha","nb_parcelles","nb_parcelles_valides","region","etat","zone_residence","lga","strate","poids_menage"
29026,1.404686,2.48897998,2,2,2,2,2,207,2,794.480407714844
29028,2,1.07749002,2,2,2,2,2,207,2,794.480407714844
29029,3.045,0.79191001,4,4,2,2,2,207,2,794.480407714844
29031,2.08343,1.64995996,3,3,2,2,2,207,2,794.480407714844
29032,5.320918,5.86501001,5,5,2,2,2,207,2,794.480407714844
29033,2.478116,2.01148999,4,4,2,2,2,207,2,794.480407714844
29034,6.045,5.72078999,4,4,2,2,2,207,2,794.480407714844
29035,2.045,1.54896997,3,3,2,2,2,207,2,794.480407714844
29036,1.254058,0.82499998,3,3,2,2,2,207,2,794.480407714844
29037,3.01,1.749,2,2,2,2,2,208,2,3840.7978515625
29038,2.01,0.41945,2,2,2,2,2,208,2,3840.7978515625
29039,4.01,1.54663003,3,3,2,2,2,208,2,3840.7978515625
29041,5.261218,2.13843999,3,3,2,2,2,208,2,3840.7978515625
29042,2.03,0.56322002,2,2,2,2,2,208,2,3840.7978515625
29044,2.03343,1.81647002,3,3,2,2,2,208,2,3840.7978515625
29045,5.685604,1.37252,3,3,2,2,2,208,2,3840.7978515625
29046,2.916401,0.86274798,4,4,2,2,2,208,2,3840.7978515625
29047,14.973382,6.7766,5,5,2,2,2,208,2,3840.7978515625
29048,5.523,1.77286001,4,4,2,2,2,208,2,3840.7978515625
29050,3.01,2.70096001,4,4,2,2,2,209,2,890.635192871094
29051,3.01,2.42047998,3,3,2,2,2,209,2,890.635192871094
29052,1.414686,1.61833999,3,3,2,2,2,209,2,890.635192871094
29053,1.628744,1.74282998,3,3,2,2,2,209,2,890.635192871094
29054,3.904686,1.57101006,3,3,2,2,2,209,2,890.635192871094
29055,2.015,1.05068003,3,3,2,2,2,209,2,890.635192871094
29056,2.416401,0.78428999,3,3,2,2,2,209,2,890.635192871094
29057,3.107029,0.75142002,3,3,2,2,2,209,2,890.635192871094
29058,4.025,2.7564,3,3,2,2,2,209,2,890.635192871094
29060,3.015,1.69739995,4,4,2,2,2,209,2,890.635192871094
29061,1.449686,0.49755001,3,3,2,2,2,210,2,1820.69848632812
29062,0.809532,1.01663999,3,3,2,2,2,210,2,1820.69848632812
29063,3.809372,0.92509002,4,4,2,2,2,210,2,1820.69848632812
29064,6.404686,0.89440997,5,5,2,2,2,210,2,1820.69848632812
29065,2.404786,0.58846998,3,3,2,2,2,210,2,1820.69848632812
29066,1.663744,0.98552,4,4,2,2,2,210,2,1820.69848632812
29068,3.282488,1.242785029,5,5,2,2,2,210,2,1820.69848632812
29070,3.327488,1.53219001,5,5,2,2,2,210,2,1820.69848632812
29071,2.06843,1.258555999,6,6,2,2,2,210,2,1820.69848632812
29072,1.809372,1.0393,3,3,2,2,2,210,2,1820.69848632812
29073,3.452686,1.08008003,4,4,2,2,2,211,2,1788.39514160156
29074,6.899372,0.93257998,4,4,2,2,2,211,2,1788.39514160156
29076,1.809372,1.3217,2,2,2,2,2,211,2,1788.39514160156
29077,1.269058,1.5506,2,2,2,2,2,211,2,1788.39514160156
