"hhid","plotid","wave","state","zone","sector","lga","area_ha","area_declared_ha","area_gps_ha"
39176,3,4,3,5,2,329,0.063546997,NA,0.063546997
39177,1,4,3,5,2,329,0.019152,NA,0.019152
39177,2,4,3,5,2,329,0.051160001,NA,0.051160001
39178,1,4,3,5,2,329,0.053766998,NA,0.053766998
39178,2,4,3,5,2,329,0.052747998,NA,0.052747998
39178,3,4,3,5,2,329,0.052394,NA,0.052394
39178,4,4,3,5,2,329,0.037948999,NA,0.037948999
39178,5,4,3,5,2,329,0.042117999,NA,0.042117999
39185,1,4,3,5,2,316,NA,NA,NA
39185,2,4,3,5,2,316,NA,NA,NA
39186,1,4,3,5,2,316,NA,NA,NA
39186,3,4,3,5,2,316,NA,NA,NA
39186,4,4,3,5,2,316,NA,NA,NA
39186,5,4,3,5,2,316,0.089103,0.089103,NA
39186,6,4,3,5,2,316,NA,NA,NA
39186,7,4,3,5,2,316,NA,NA,NA
39186,8,4,3,5,2,316,0.01617,NA,0.01617
39187,1,4,3,5,2,317,NA,NA,NA
39188,1,4,3,5,2,317,NA,NA,NA
39188,2,4,3,5,2,317,NA,NA,NA
39188,3,4,3,5,2,317,0.038206,0.038206,NA
39190,1,4,3,5,2,318,NA,NA,NA
39190,2,4,3,5,2,318,0.026679001,NA,0.026679001
39190,3,4,3,5,2,318,0.20998999,NA,0.20998999
39193,1,4,3,5,2,304,NA,NA,NA
39193,2,4,3,5,2,304,NA,NA,NA
39193,3,4,3,5,2,304,0.030451,0.030451,NA
39193,4,4,3,5,2,304,0.063815,0.063815,NA
39198,1,4,3,5,2,323,NA,NA,NA
40011,1,4,4,4,1,417,NA,NA,NA
40012,1,4,4,4,1,417,NA,NA,NA
40015,1,4,4,4,1,417,NA,NA,NA
40015,3,4,4,4,1,417,NA,NA,NA
40017,1,4,4,4,1,417,NA,NA,NA
40018,1,4,4,4,1,417,NA,NA,NA
40019,1,4,4,4,1,417,NA,NA,NA
40019,2,4,4,4,1,417,NA,NA,NA
40020,2,4,4,4,1,417,NA,NA,NA
40020,3,4,4,4,1,417,NA,NA,NA
40171,1,4,4,4,1,421,NA,NA,NA
40171,2,4,4,4,1,421,NA,NA,NA
40172,1,4,4,4,1,421,0.013846001,NA,0.013846001
40172,2,4,4,4,1,421,0.0032200001,0.005737,0.0032200001
40172,3,4,4,4,1,421,NA,NA,NA
40173,1,4,4,4,1,421,NA,NA,NA
40173,2,4,4,4,1,421,NA,NA,NA
40173,3,4,4,4,1,421,NA,NA,NA
40174,1,4,4,4,1,421,0.0088139999,NA,0.0088139999
40174,2,4,4,4,1,421,0.014448,NA,0.014448
40174,3,4,4,4,1,421,NA,NA,NA
40174,4,4,4,4,1,421,NA,NA,NA
40176,1,4,4,4,1,421,0.052766998,NA,0.052766998
40176,2,4,4,4,1,421,NA,NA,NA
40176,3,4,4,4,1,421,0.042723001,NA,0.042723001
40176,4,4,4,4,1,421,NA,NA,NA
40176,5,4,4,4,1,421,NA,NA,NA
40176,6,4,4,4,1,421,NA,NA,NA
40177,1,4,4,4,1,421,NA,NA,NA
40177,2,4,4,4,1,421,NA,NA,NA
40177,4,4,4,4,1,421,NA,NA,NA
40177,5,4,4,4,1,421,NA,NA,NA
40177,6,4,4,4,1,421,NA,NA,NA
40177,7,4,4,4,1,421,NA,NA,NA
40178,1,4,4,4,1,421,0.070035999,NA,0.070035999
40178,2,4,4,4,1,421,NA,NA,NA
40180,1,4,4,4,1,421,NA,NA,NA
40180,2,4,4,4,1,421,NA,NA,NA
40180,4,4,4,4,1,421,NA,NA,NA
40202,1,4,4,4,2,402,0.20203,NA,0.20203
40202,2,4,4,4,2,402,NA,NA,NA
40202,3,4,4,4,2,402,NA,NA,NA
40202,4,4,4,4,2,402,NA,NA,NA
40202,5,4,4,4,2,402,NA,NA,NA
40203,1,4,4,4,2,402,NA,NA,NA
40204,2,4,4,4,2,402,NA,NA,NA
40206,1,4,4,4,2,402,NA,NA,NA
40206,2,4,4,4,2,402,NA,NA,NA
40206,3,4,4,4,2,402,NA,NA,NA
40206,4,4,4,4,2,402,NA,NA,NA
40206,5,4,4,4,2,402,NA,NA,NA
40206,6,4,4,4,2,402,NA,NA,NA
40207,1,4,4,4,2,402,0.081754999,NA,0.081754999
40207,2,4,4,4,2,402,NA,NA,NA
40208,1,4,4,4,2,402,0.0038360001,0.005157,0.0038360001
40208,2,4,4,4,2,402,0.25333,NA,0.25333
40208,3,4,4,4,2,402,NA,NA,NA
40208,4,4,4,4,2,402,NA,NA,NA
40209,1,4,4,4,2,402,0.053783002,NA,0.053783002
40209,2,4,4,4,2,402,0.053212,NA,0.053212
40209,3,4,4,4,2,402,NA,NA,NA
40210,1,4,24,6,1,406,NA,NA,NA
40210,2,4,24,6,1,406,NA,NA,NA
49001,1,4,4,4,2,402,0.020655,NA,0.020655
49001,2,4,4,4,2,402,0.04564,0.04564,NA
49003,1,4,4,4,2,402,0.031951999,NA,0.031951999
49003,2,4,4,4,2,402,NA,NA,NA
49004,1,4,4,4,2,402,NA,NA,NA
49004,2,4,4,4,2,402,NA,NA,NA
49004,3,4,4,4,2,402,0.066548999,NA,0.066548999
49004,4,4,4,4,2,402,NA,NA,NA
49004,5,4,4,4,2,402,NA,NA,NA
49005,1,4,4,4,2,402,0.048628,NA,0.048628
49005,2,4,4,4,2,402,NA,NA,NA
49005,3,4,4,4,2,402,0.017075,NA,0.017075
49005,4,4,4,4,2,402,0.010548,0.007385,0.010548
49005,5,4,4,4,2,402,NA,NA,NA
49006,2,4,4,4,2,402,NA,NA,NA
49006,3,4,4,4,2,402,NA,NA,NA
49007,1,4,4,4,2,402,0.26193,0.26193,NA
49007,2,4,4,4,2,402,0.5338,0.5338,NA
49007,3,4,4,4,2,402,0.059294,0.059294,NA
49008,1,4,4,4,2,402,0.26251001,NA,0.26251001
49008,2,4,4,4,2,402,0.039156,NA,0.039156
49009,1,4,4,4,2,402,0.10139,0.10139,NA
49009,2,4,4,4,2,402,0.30372,NA,0.30372
49009,3,4,4,4,2,402,NA,NA,NA
49009,4,4,4,4,2,402,0.36412,NA,0.36412
49009,5,4,4,4,2,402,NA,NA,NA
49010,1,4,4,4,2,402,0.15711,NA,0.15711
49010,2,4,4,4,2,402,NA,NA,NA
49010,3,4,4,4,2,402,NA,NA,NA
49011,1,4,4,4,2,402,0.049070001,NA,0.049070001
49011,2,4,4,4,2,402,0.3179,NA,0.3179
49011,3,4,4,4,2,402,0.22633,NA,0.22633
49013,1,4,4,4,2,405,NA,NA,NA
49013,2,4,4,4,2,405,NA,NA,NA
49013,3,4,4,4,2,405,0.015839,NA,0.015839
49013,4,4,4,4,2,405,NA,NA,NA
49015,1,4,14,4,1,1405,NA,NA,NA
49015,2,4,14,4,1,1405,NA,NA,NA
49015,3,4,14,4,1,1405,0.087488,NA,0.087488
49015,4,4,14,4,1,1405,NA,NA,NA
49015,5,4,14,4,1,1405,0.060565002,NA,0.060565002
49015,6,4,14,4,1,1405,NA,NA,NA
49017,1,4,4,4,2,405,NA,NA,NA
49018,1,4,4,4,2,405,NA,NA,NA
49018,2,4,4,4,2,405,NA,NA,NA
