hhid,total_area_ha,total_area_gps_ha,n_plots,n_plots_valides,region,etat,zone_residence,strate,wt_wave4
19116,0.34495,0.31893,4,4,South East,Abia,Rural,4,4633.8681640625
19117,0.45618000000000003,0.387661001,6,6,South East,Abia,Rural,4,4633.8681640625
19118,1.1805,0.12380999999999999,3,3,South East,Abia,Rural,4,4633.8681640625
19119,2.2527,0.374,4,4,South East,Abia,Rural,4,4633.8681640625
19120,1.2565,0.49167099999999997,4,4,South East,Abia,Rural,4,4633.8681640625
19121,1.214058,0.162295001,3,3,South East,Abia,Rural,4,2239.759765625
19122,2.02343,0.164279999,3,3,South East,Abia,Rural,4,2239.759765625
19123,0.809372,0.038726999,2,2,South East,Abia,Rural,4,2239.759765625
19124,1.214058,0.22154900099999997,3,3,South East,Abia,Rural,4,2239.759765625
19125,1.126686,0.036716,3,3,South East,Abia,Rural,4,2239.759765625
19126,1.214058,0.151621999,3,3,South East,Abia,Rural,4,2239.759765625
19127,1.214058,0.123029999,3,3,South East,Abia,Rural,4,2239.759765625
19129,2.02343,0.098436999,4,4,South East,Abia,Rural,4,2239.759765625
19130,1.069686,0.164043,3,3,South East,Abia,Rural,4,2239.759765625
19131,1.618744,0.11943,3,3,South East,Abia,Rural,4,2239.759765625
19133,1.342343,0.177701997,3,3,South East,Abia,Rural,4,5772.70556640625
19135,1.164686,0.059069,2,2,South East,Abia,Rural,4,5772.70556640625
19136,0.167669,0.06753100000000001,3,3,South East,Abia,Rural,4,5772.70556640625
19137,0.457358,0.25195,2,2,South East,Abia,Rural,4,5772.70556640625
19138,0.468975,0.29563,2,2,South East,Abia,Rural,4,5772.70556640625
19139,0.11918200000000001,0.016600998999999998,2,2,South East,Abia,Rural,4,5772.70556640625
19140,0.404686,0.062683002,2,2,South East,Abia,Rural,4,5772.70556640625
19141,1.214058,0.336283001,3,3,South East,Abia,Rural,4,5772.70556640625
19143,1.011715,0.159507999,4,4,South East,Abia,Rural,4,5772.70556640625
19144,0.809372,0.10626,2,2,South East,Abia,Rural,4,5772.70556640625
19145,NA,0,1,0,South East,Abia,Rural,4,2065.22998046875
19146,NA,0,1,0,South East,Abia,Rural,4,2065.22998046875
19147,NA,0,1,0,South East,Abia,Rural,4,2065.22998046875
19148,NA,0,1,0,South East,Abia,Rural,4,2065.22998046875
19149,NA,0,1,0,South East,Abia,Rural,4,2065.22998046875
19150,NA,0,1,0,South East,Abia,Rural,4,2065.22998046875
19151,0.009865,0,1,1,South East,Abia,Rural,4,2065.22998046875
19152,NA,0,1,0,South East,Abia,Rural,4,2065.22998046875
19153,0.025498,0.025498,1,1,South East,Abia,Rural,4,2065.22998046875
19158,2.03498,0.054796997,6,6,South East,Abia,Rural,4,2568.56591796875
19159,2.03598,0.2404,6,6,South East,Abia,Rural,4,2568.56591796875
19160,0.408046,0.39699,3,3,South East,Abia,Rural,4,2568.56591796875
19161,1.325551,0.111492999,4,4,South East,Abia,Rural,4,2568.56591796875
19163,0.866372,0.31591,3,3,South East,Abia,Rural,4,2568.56591796875
19164,2.832802,0.53984001,5,5,South East,Abia,Rural,4,2568.56591796875
19165,0.828372,0.051809997999999996,3,3,South East,Abia,Rural,4,2568.56591796875
19166,0.336766,0.391417002,5,5,South East,Abia,Rural,4,2568.56591796875
19167,0.257598,0.09150799899999999,3,3,South East,Abia,Rural,4,2568.56591796875
19168,0.437,1.100777979,4,4,South East,Abia,Rural,4,2568.56591796875
19169,3.237488,0.80316001,6,6,South East,Abia,Rural,4,710.65704345703125
19170,2.272104,0.65336001,3,3,South East,Abia,Rural,4,710.65704345703125
19173,2.031257,0.42503700969999997,3,3,South East,Abia,Rural,4,710.65704345703125
19174,2.08043,0.07673200100000001,4,4,South East,Abia,Rural,4,710.65704345703125
19175,0.238095,0.32132,2,2,South East,Abia,Rural,4,710.65704345703125
19177,0.294856,0.64211001,2,2,South East,Abia,Rural,4,710.65704345703125
19178,0.285398,0.040973999,4,4,South East,Abia,Rural,4,710.65704345703125
19179,3.642174,1.5195800300000002,3,3,South East,Abia,Rural,4,710.65704345703125
19180,0.809372,0.24008000000000002,2,2,South East,Abia,Rural,4,710.65704345703125
19181,0.225096,0.32133,3,3,South East,Abia,Rural,4,400
