hhid,area_declared_ha,area_gps_ha,diff_ha,sous_estime
19193,0.90035,0.90035,0,FALSE
19194,0.013300000000000001,0.037648001,0.024348001,TRUE
19195,0.01425,0.023594999999999998,0.009344999999999997,TRUE
19205,0.02546,0.092419,0.066959,TRUE
19206,0.38,0.11300999999999999,-0.26699,FALSE
19206,0.5700000000000001,0.14527,-0.42473000000000005,FALSE
19207,0.057,0.5719799799999999,0.5149799799999999,TRUE
19207,0.0855,0.5324899900000001,0.44698999000000006,TRUE
19208,0.0665,0.41548999000000003,0.34898999000000003,TRUE
19209,0.11058000000000001,0.48853999000000004,0.37795999,TRUE
19211,0.114,0.89062998,0.77662998,TRUE
19211,0.03002,0.34925,0.31923,TRUE
19213,0.404686,0.22873000000000002,-0.17595599999999997,FALSE
19213,0.202343,0.89655,0.694207,TRUE
19214,0.404686,1.1032,0.698514,TRUE
19214,0.0285,0.79718999,0.76868999,TRUE
19215,0.404686,0.34023999,-0.06444601,FALSE
19230,0.404686,0.062441998,-0.342244002,FALSE
19230,0.404686,0.032344,-0.372342,FALSE
19231,0.5700000000000001,0.1321,-0.43790000000000007,FALSE
19231,0.38,0.19679000000000002,-0.18320999999999998,FALSE
19231,0.404686,0.012004,-0.392682,FALSE
19232,0.404686,0.054858001999999996,-0.349827998,FALSE
19232,0.404686,0.1108,-0.293886,FALSE
19235,0.0665,0.040748999,-0.025751001000000003,FALSE
19235,0.057,0.031673998999999994,-0.025326001000000008,FALSE
19235,0.038,0.0062549999,-0.0317450001,FALSE
19236,0.12350000000000001,0.034628,-0.088872,FALSE
19236,0.10450000000000001,0.024763,-0.079737,FALSE
19236,0.095,0.023499001000000002,-0.071500999,FALSE
19238,0.0475,0.011583,-0.035917000000000004,FALSE
19238,0.057,0.022256,-0.034744,FALSE
19239,0.0475,0.068107001,0.020607001,TRUE
19239,0.057,0.010731999999999998,-0.046268000000000004,FALSE
19239,0.076,0.049876001,-0.026123998999999995,FALSE
19250,0.404686,0.078813,-0.32587299999999997,FALSE
19250,0.404686,0.026385000999999998,-0.37830099899999997,FALSE
19254,1e-4,0.040698001,0.040598000999999995,TRUE
19266,0.076,0.075044,-9.559999999999985e-4,FALSE
19269,0.404686,0.29063,-0.11405599999999999,FALSE
19269,0.809372,0.28166001,-0.52771199,FALSE
19280,0.0988,0.051765002000000004,-0.047034997999999995,FALSE
19280,0.19,0.10672999999999999,-0.08327000000000001,FALSE
19280,0.057,0.015547,-0.041453000000000004,FALSE
20001,1.214058,1.478,0.2639419999999999,TRUE
20001,2,0.19513,-1.80487,FALSE
20002,0.404686,0.25328,-0.15140599999999999,FALSE
20002,0.404686,0.38497,-0.01971600000000001,FALSE
20003,0.607029,0.67191001,0.0648810099999999,TRUE
20003,0.1047,0.1047,0,FALSE
20005,0.202343,0.2364,0.034057000000000004,TRUE
20006,0.404686,0.49865,0.09396399999999999,TRUE
20006,0.404686,0.23705,-0.16763599999999998,FALSE
20007,1,0.51997998,-0.48002002,FALSE
20007,0.5,0.19822,-0.30178,FALSE
20008,0.5,0.17224,-0.32776,FALSE
20009,1,0.21911001000000002,-0.7808899899999999,FALSE
20009,0.404686,0.10361,-0.301076,FALSE
20009,0.404686,0.1199,-0.284786,FALSE
20010,0.404686,0.17352,-0.23116599999999998,FALSE
20041,1,0.305,-0.6950000000000001,FALSE
20041,2.02343,0.56982002,-1.45360998,FALSE
20042,1,0.277,-0.723,FALSE
20042,1,0.17695999999999998,-0.82304,FALSE
20043,1.214058,0.5459700200000001,-0.66808798,FALSE
20044,1,0.70966001,-0.29033999,FALSE
20045,0.809372,0.50227998,-0.30709202,FALSE
20045,1.1331208,0.18145999999999998,-0.9516608,FALSE
20046,0.607029,0.48788999000000005,-0.11913900999999999,FALSE
20046,0.404686,0.072910999,-0.331775001,FALSE
20046,0.809372,0.41996000999999994,-0.38941199000000004,FALSE
20047,1.618744,1.4313,-0.18744399999999994,FALSE
20047,1.214058,0.7011200200000001,-0.51293798,FALSE
20048,1,1.0258,0.025800000000000045,TRUE
20048,2.02343,0.22333000000000003,-1.8000999999999998,FALSE
20049,1.214058,0.24613998999999998,-0.9679180100000001,FALSE
20049,1.214058,0.45896001,-0.7550979900000001,FALSE
20050,2.428116,0.36691999999999997,-2.0611960000000003,FALSE
20061,0.404686,0.19838,-0.206306,FALSE
20061,0.404686,0.34553998999999996,-0.05914601000000003,FALSE
20062,0.404686,0.27493,-0.12975599999999998,FALSE
20062,0.404686,0.24778999,-0.15689601,FALSE
20062,0.404686,0.39041001000000003,-0.01427598999999996,FALSE
20063,1,0.19739,-0.80261,FALSE
20063,3,1.0674,-1.9326,FALSE
20063,3,0.75083999,-2.2491600099999998,FALSE
20064,1.214058,0.31237,-0.901688,FALSE
20064,0.809372,0.22155,-0.587822,FALSE
20064,1,0.617,-0.383,FALSE
20065,0.404686,0.37501999999999996,-0.029666000000000026,FALSE
20065,0.809372,0.83527002,0.025898019999999966,TRUE
20066,1.618744,1.2649,-0.35384400000000005,FALSE
20066,0.809372,0.47278999000000005,-0.33658200999999993,FALSE
20068,1,0.13701,-0.86299,FALSE
20068,1,0.30443000000000003,-0.69557,FALSE
20068,1,0.85304004,-0.14695996,FALSE
20069,0.404686,0.74941001,0.34472400999999997,TRUE
20069,0.404686,0.089138,-0.315548,FALSE
20069,0.404686,0.55132002,0.14663402000000003,TRUE
20070,1,0.17178,-0.82822,FALSE
20070,0.404686,0.19937,-0.205316,FALSE
20091,1,0.26633,-0.73367,FALSE
20092,1,0.9151,-0.08489999999999998,FALSE
20092,1,0.27867,-0.72133,FALSE
20092,2,0.21606999999999998,-1.78393,FALSE
20093,1,0.72745,-0.27254999999999996,FALSE
20095,1.214058,1.1673,-0.04675800000000008,FALSE
20096,2.02343,2.1692,0.14577000000000018,TRUE
20097,0.809372,0.9298099599999999,0.12043795999999996,TRUE
20098,1,0.36325,-0.6367499999999999,FALSE
20098,1,0.21601001,-0.78398999,FALSE
20098,1,0.45548999,-0.54451001,FALSE
20099,1,0.34062,-0.6593800000000001,FALSE
20099,0.404686,0.10106,-0.303626,FALSE
20100,1,0.27703,-0.72297,FALSE
20100,0.404686,0.3498,-0.05488599999999999,FALSE
20101,1,0.11621,-0.88379,FALSE
20101,1,0.12269000000000001,-0.87731,FALSE
20102,0.404686,0.23773998999999998,-0.16694601,FALSE
20102,0.404686,0.36648000000000003,-0.03820599999999996,FALSE
20102,1,0.78238999,-0.21761001000000002,FALSE
20102,0.404686,0.23501999999999998,-0.169666,FALSE
20102,1,0.3312,-0.6688000000000001,FALSE
20103,0.404686,0.1471,-0.257586,FALSE
20104,1,0.12426,-0.87574,FALSE
20104,1,0.15884,-0.84116,FALSE
20104,1,0.14090999999999998,-0.85909,FALSE
20106,0.404686,0.14711,-0.257576,FALSE
20107,0.404686,0.16726,-0.237426,FALSE
20108,1,0.37338000000000005,-0.62662,FALSE
20110,0.404686,0.12797999999999998,-0.276706,FALSE
29001,1,1.37253,0.37253000000000003,TRUE
29001,1,1.3736,0.37359999999999993,TRUE
29002,2,1.7978,-0.20219999999999994,FALSE
29003,3,2.666,-0.3340000000000001,FALSE
29003,1.618744,0.9673,-0.6514439999999999,FALSE
29004,2.02343,1.4462,-0.5772299999999999,FALSE
29004,2.02343,0.67155,-1.35188,FALSE
29005,0.202343,0.47241001,0.27006701,TRUE
29006,0.404686,2.4127,2.008014,TRUE
29006,0.202343,0.40391001,0.20156701,TRUE
29007,2,0.36056001,-1.63943999,FALSE
29008,2,2.9654,0.9653999999999998,TRUE
29008,2,2.4656,0.4655999999999998,TRUE
29009,3,3.0254,0.025399999999999867,TRUE
29010,0.809372,2.256,1.4466279999999998,TRUE
29013,1.214058,1.6025,0.38844199999999995,TRUE
29013,2.02343,1.2366,-0.7868299999999999,FALSE
29014,0.404686,1.7907,1.3860139999999999,TRUE
29014,0.404686,1.4486,1.043914,TRUE
29018,0.404686,2.3202599999999998,1.9155739999999999,TRUE
29018,0.404686,1.925,1.520314,TRUE
29019,2,1.1641,-0.8359000000000001,FALSE
29019,1,0.40723999,-0.59276001,FALSE
29020,0.404686,3.1312,2.7265140000000003,TRUE
29020,0.202343,0.25526001000000004,0.05291701000000004,TRUE
29020,2,1.7122,-0.28780000000000006,FALSE
29021,1.214058,0.64747998,-0.5665780200000001,FALSE
29021,0.809372,1.9398,1.130428,TRUE
29021,0.607029,1.7477,1.140671,TRUE
29021,0.202343,0.14079,-0.061553,FALSE
29022,0.404686,0.26848,-0.136206,FALSE
29022,1.214058,0.20304,-1.011018,FALSE
29022,0.809372,0.56817002,-0.24120197999999993,FALSE
29023,1.214058,4.0546,2.8405419999999997,TRUE
29023,1.214058,4.7517,3.5376419999999995,TRUE
29023,0.809372,2.3556,1.546228,TRUE
29024,1,0.67927002,-0.32072997999999997,FALSE
29024,1.618744,0.65926001,-0.95948399,FALSE
29025,1,0.50192002,-0.49807998,FALSE
29025,0.809372,0.34078999,-0.46858201,FALSE
29025,0.809372,0.51308999,-0.29628201,FALSE
29026,1,1.5446,0.5446,TRUE
29026,0.404686,0.9443799800000001,0.5396939800000001,TRUE
29028,1,0.95317002,-0.04682998000000005,FALSE
29028,1,0.12432,-0.87568,FALSE
29029,1,0.34825,-0.65175,FALSE
29029,1,0.26766001,-0.73233999,FALSE
29029,1,0.176,-0.8240000000000001,FALSE
29031,0.809372,0.77612998,-0.03324201999999998,FALSE
29031,1.214058,0.8738299800000001,-0.34022801999999996,FALSE
29032,1.618744,1.8545,0.23575600000000008,TRUE
29032,1.214058,1.9607,0.746642,TRUE
29032,2.02343,1.8341,-0.18932999999999978,FALSE
29032,0.404686,0.21571001,-0.18897598999999998,FALSE
29033,0.809372,0.63188999,-0.17748200999999997,FALSE
29033,1.214058,1.3796,0.16554199999999986,TRUE
29034,2,0.21338999,-1.78661001,FALSE
29034,2,3.1292,1.1292,TRUE
29034,2,2.3782,0.3782000000000001,TRUE
29035,1,0.5683600099999999,-0.4316399900000001,FALSE
29035,1,0.98060996,-0.019390039999999997,FALSE
29036,0.809372,0.59337998,-0.21599201999999995,FALSE
29036,0.404686,0.23162,-0.173066,FALSE
29037,3,1.749,-1.251,FALSE
29038,2,0.41945,-1.5805500000000001,FALSE
29039,2,0.61631001,-1.3836899900000001,FALSE
29039,2,0.9303200199999999,-1.06967998,FALSE
29041,2.832802,1.5802,-1.252602,FALSE
29041,2.428116,0.55823999,-1.86987601,FALSE
29042,2,0.56322002,-1.4367799799999998,FALSE
29044,0.809372,1.2971,0.48772799999999994,TRUE
29044,1.214058,0.51937002,-0.6946879800000001,FALSE
29045,2.428116,1.0294,-1.398716,FALSE
29045,3.237488,0.34312,-2.894368,FALSE
29046,1.5,0.58492998,-0.91507002,FALSE
29046,0.809372,0.22633000000000003,-0.583042,FALSE
29046,0.202343,0.051488,-0.150855,FALSE
29047,3.237488,2.1915,-1.045988,FALSE
29047,4.04686,2.1512,-1.89566,FALSE
29047,3.237488,1.3981,-1.839388,FALSE
29047,3.237488,1.0358,-2.201688,FALSE
29048,1.5,0.51903999,-0.98096001,FALSE
29048,2,0.45171000999999994,-1.54828999,FALSE
29048,2,0.8021100099999999,-1.1978899900000002,FALSE
29050,1,1.1499,0.14989999999999992,TRUE
29050,1,0.70201001,-0.29798999000000004,FALSE
29050,1,0.84905,-0.15095000000000003,FALSE
29051,2,0.75207998,-1.24792002,FALSE
29051,1,1.6684,0.6684000000000001,TRUE
29052,0.404686,0.41053999,0.005853990000000031,TRUE
29052,1,1.2078,0.20779999999999998,TRUE
29053,0.809372,0.7303299799999999,-0.07904202000000005,FALSE
29053,0.809372,1.0125,0.20312799999999998,TRUE
29054,2,0.98904004,-1.01095996,FALSE
29054,1.5,0.58197002,-0.91802998,FALSE
29055,1,0.48782002,-0.51217998,FALSE
29055,1,0.56286001,-0.43713999000000003,FALSE
29056,0.809372,0.51483999,-0.29453200999999996,FALSE
29056,1,0.26945,-0.73055,FALSE
29057,1.5,0.44147002,-1.0585299799999999,FALSE
29057,1,0.30995,-0.69005,FALSE
29058,2,1.2734,-0.7265999999999999,FALSE
29058,2,1.483,-0.5169999999999999,FALSE
29060,1,0.5073899900000001,-0.49261000999999993,FALSE
29060,1,0.8523599599999999,-0.14764004000000008,FALSE
29060,1,0.33765,-0.66235,FALSE
29061,1,0.31851001,-0.68148999,FALSE
29061,0.404686,0.17904,-0.22564599999999999,FALSE
29062,0.404686,0.81603999,0.41135399000000006,TRUE
29062,0.404686,0.2006,-0.204086,FALSE
29063,2,0.39666001,-1.60333999,FALSE
29063,1,0.24886001000000002,-0.75113999,FALSE
29063,0.404686,0.27957,-0.125116,FALSE
29064,3,0.16414,-2.83586,FALSE
29064,1,0.46332998,-0.5366700200000001,FALSE
29064,1,0.26693999,-0.73306001,FALSE
29065,1e-4,0.17419,0.17409000000000002,TRUE
29065,2,0.41427998,-1.5857200200000001,FALSE
29066,0.404686,0.6361,0.231414,TRUE
29066,0.809372,0.34942,-0.45995199999999997,FALSE
29068,1.214058,0.49047002,-0.72358798,FALSE
29068,0.809372,0.47591000999999994,-0.33346199000000004,FALSE
29068,0.809372,0.21515,-0.594222,FALSE
29068,0.404686,0.061254999,-0.343431001,FALSE
29070,0.809372,0.56903999,-0.24033200999999993,FALSE
29070,0.404686,0.32528,-0.07940599999999998,FALSE
29070,0.809372,0.63787002,-0.17150197999999994,FALSE
