"identifiant_menage","region","etat","lga","zone_residence","ea","cluster","strate","poids_menage","identifiant_parcelle","superficie_declaree","superficie_gps_m2","superficie_parcelle","unite_superficie","mode_acquisition","superficie_ha_standard","superficie_ha_heaps","superficie_ha_ridges","superficie_ha_stands","superficie_ha","superficie_gps_ha","outlier_superficie","superficie_ha_propre"
19007,"South East","Abia",102,"Urbain",46,"102-46",4,3688.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19008,"South East","Abia",102,"Urbain",46,"102-46",4,3688.921875,1,NA,1012.1,1,5,"prêt",0.404686,NA,NA,NA,0.404686,0.10121,FALSE,0.404686
19008,"South East","Abia",102,"Urbain",46,"102-46",4,3688.921875,2,NA,815.27002,1,5,"prêt",0.404686,NA,NA,NA,0.404686,0.081527002,FALSE,0.404686
19009,"South East","Abia",102,"Urbain",46,"102-46",4,3688.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19010,"South East","Abia",102,"Urbain",46,"102-46",4,3688.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19012,"South East","Abia",102,"Urbain",46,"102-46",4,3688.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19014,"South East","Abia",102,"Urbain",806,"102-806",4,5176.703125,1,NA,NA,250.96,7,"propriété pleine",0.025096,NA,NA,NA,0.025096,NA,FALSE,0.025096
19015,"South East","Abia",102,"Urbain",806,"102-806",4,5176.703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19017,"South East","Abia",102,"Urbain",806,"102-806",4,5176.703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19018,"South East","Abia",102,"Urbain",806,"102-806",4,5176.703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19019,"South East","Abia",102,"Urbain",806,"102-806",4,5176.703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19020,"South East","Abia",102,"Urbain",806,"102-806",4,5176.703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19023,"South East","Abia",102,"Urbain",806,"102-806",4,5176.703125,1,NA,NA,100.63,7,"propriété pleine",0.010063,NA,NA,NA,0.010063,NA,FALSE,0.010063
19024,"South East","Abia",102,"Urbain",806,"102-806",4,5176.703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19025,"South East","Abia",102,"Urbain",2486,"102-2486",4,4284.16796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19026,"South East","Abia",102,"Urbain",2486,"102-2486",4,4284.16796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
