"hhid","nb_parcelles","superf_totale_ha","superf_moy_ha","wt_wave4","milieu","state"
39064,1,0.062398,0.062398,2025.52233886719,"Rural",3
39069,1,0.030592,0.030592,2025.52233886719,"Rural",3
39070,1,0.033393,0.033393,2025.52233886719,"Rural",3
39071,2,0.174438,0.087219,2969.03344726562,"Rural",3
39074,2,0.14652,0.07326,2969.03344726562,"Rural",3
39077,2,0.097361,0.0486805,2969.03344726562,"Rural",3
39080,2,0.122619,0.0613095,2969.03344726562,"Rural",3
39082,1,0.19349,0.19349,2969.03344726562,"Rural",3
39088,1,0.038596,0.038596,3474.10595703125,"Rural",3
39089,1,0.032198,0.032198,3474.10595703125,"Rural",3
39090,5,0.158783,0.0317566,3474.10595703125,"Rural",3
39093,1,0.11185,0.11185,3474.10595703125,"Rural",3
39098,1,0.088997,0.088997,1663.71691894531,"Rural",3
39101,1,0.072359,0.072359,1663.71691894531,"Rural",3
39102,4,0.328652,0.082163,1663.71691894531,"Rural",3
39105,1,0.028191,0.028191,1663.71691894531,"Rural",3
39106,2,0.055008,0.027504,1663.71691894531,"Rural",3
39107,1,0.035138,0.035138,1888.02490234375,"Rural",3
39108,2,0.20098,0.10049,1888.02490234375,"Rural",3
39110,1,0.046206,0.046206,1888.02490234375,"Rural",3
39116,3,0.325898,0.108632666666667,1888.02490234375,"Rural",3
39120,1,0.040516,0.040516,2915.00415039062,"Rural",3
39128,1,0.011158,0.011158,2915.00415039062,"Rural",3
39137,1,0.05296,0.05296,4891.5830078125,"Rural",3
39146,6,0.232483,0.0387471666666667,1002.82171630859,"Rural",3
39147,2,0.074361,0.0371805,1002.82171630859,"Rural",3
39149,1,0.077415,0.077415,1002.82171630859,"Rural",3
39152,1,0.015567,0.015567,1002.82171630859,"Rural",3
39154,1,0.044284,0.044284,1002.82171630859,"Rural",3
39155,1,0.015148,0.015148,2602.44116210938,"Rural",3
39156,1,0.02431,0.02431,2602.44116210938,"Rural",3
39159,3,0.20554,0.0685133333333333,2602.44116210938,"Rural",3
39160,1,0.13365,0.13365,2602.44116210938,"Rural",3
39170,2,0.173596,0.086798,5829.76416015625,"Rural",3
39171,5,0.539773,0.1079546,5829.76416015625,"Rural",3
39174,1,0.038391,0.038391,5829.76416015625,"Rural",3
39186,1,0.089103,0.089103,3708.15991210938,"Rural",3
39188,1,0.038206,0.038206,2025.52233886719,"Rural",3
39193,2,0.094266,0.047133,1663.71691894531,"Rural",3
40172,1,0.005737,0.005737,3468.31103515625,"Urbain",4
40208,1,0.005157,0.005157,2856.17504882812,"Rural",4
49001,1,0.04564,0.04564,6528.91455078125,"Rural",4
49005,1,0.007385,0.007385,6528.91455078125,"Rural",4
49007,3,0.855024,0.285008,6528.91455078125,"Rural",4
49009,1,0.10139,0.10139,6528.91455078125,"Rural",4
49041,1,0.049285,0.049285,9999.8349609375,"Urbain",4
49046,1,0.004701,0.004701,9999.8349609375,"Urbain",4
49077,1,0.000462,0.000462,2744.56127929688,"Urbain",4
49102,1,0.006455,0.006455,11385.001953125,"Urbain",4
49103,1,0.047191,0.047191,11385.001953125,"Urbain",4
49130,1,0.16256,0.16256,2856.33056640625,"Urbain",4
49137,1,0.003593,0.003593,2856.33056640625,"Urbain",4
50009,1,0.48635,0.48635,3861.2998046875,"Rural",5
50035,1,0.017546,0.017546,3350.51025390625,"Rural",5
50038,1,0.37889,0.37889,3350.51025390625,"Rural",5
50051,1,0.579,0.579,828.726806640625,"Rural",5
50054,1,0.65952,0.65952,828.726806640625,"Rural",5
50060,3,0.88729,0.295763333333333,828.726806640625,"Rural",5
50137,1,0.048035,0.048035,3646.14331054688,"Rural",5
50157,1,0.70864,0.70864,4832.69482421875,"Rural",5
50158,1,0.31102,0.31102,4832.69482421875,"Rural",5
59063,1,0.52526,0.52526,6837.875,"Rural",5
59066,1,1.4391,1.4391,6837.875,"Rural",5
59067,1,4.8336,4.8336,6837.875,"Rural",5
59079,1,0.30965,0.30965,1335.15405273438,"Rural",5
59083,2,0.60846,0.30423,1335.15405273438,"Rural",5
59103,1,0.49025,0.49025,2139.29541015625,"Rural",5
59104,1,0.081649,0.081649,2139.29541015625,"Rural",5
59115,1,1.4153,1.4153,3416.18920898438,"Rural",5
59138,1,0.18215,0.18215,2324.1298828125,"Rural",5
59140,1,0.22928,0.22928,2324.1298828125,"Rural",5
59149,2,0.84263,0.421315,3592.50439453125,"Rural",5
59162,1,0.24377,0.24377,12122.2138671875,"Rural",5
59164,1,0.10416,0.10416,12122.2138671875,"Rural",5
60039,2,0.328928,0.164464,3164.28173828125,"Rural",6
60040,3,0.239042,0.0796806666666667,3164.28173828125,"Rural",6
60041,1,0.12922,0.12922,6936.97119140625,"Rural",6
60053,3,0.121029,0.040343,2328.62182617188,"Rural",3
60057,1,0.14537,0.14537,2328.62182617188,"Rural",6
60058,1,0.092402,0.092402,2328.62182617188,"Rural",6
69025,1,0.37713,0.37713,13427.7958984375,"Rural",6
69028,1,0.083675,0.083675,13427.7958984375,"Rural",6
69029,4,0.15112,0.03778,13427.7958984375,"Rural",6
69030,1,0.20555,0.20555,13427.7958984375,"Rural",6
69031,1,0.12905,0.12905,13427.7958984375,"Rural",6
69037,1,0.13155,0.13155,28094.619140625,"Rural",6
69038,1,0.14476,0.14476,28094.619140625,"Rural",6
69041,1,0.019741,0.019741,28094.619140625,"Rural",6
70072,1,0.2268,0.2268,2864.32861328125,"Rural",7
70079,1,0.55506,0.55506,2864.32861328125,"Rural",7
70121,1,0.05914,0.05914,7248.1708984375,"Rural",7
70127,1,0.031139,0.031139,7248.1708984375,"Rural",7
70128,1,0.1244,0.1244,7248.1708984375,"Rural",7
70130,1,0.088425,0.088425,7248.1708984375,"Rural",7
79005,4,0.79892,0.19973,5841.857421875,"Rural",7
79015,1,0.03431,0.03431,4422.14697265625,"Rural",7
79019,1,1.1962,1.1962,4422.14697265625,"Rural",7
79033,2,0.68239,0.341195,8276.5126953125,"Rural",7
79040,1,0.083457,0.083457,3181.23291015625,"Urbain",7
79067,1,0.06233,0.06233,2519.57006835938,"Rural",7
79074,1,0.16016,0.16016,3060.81518554688,"Rural",7
79085,1,0.24684,0.24684,11633.9990234375,"Rural",7
79095,1,0.044764,0.044764,11633.9990234375,"Rural",7
79098,1,0.025381,0.025381,1136.62512207031,"Rural",7
79104,1,0.061387,0.061387,1136.62512207031,"Rural",7
79105,1,0.085316,0.085316,1136.62512207031,"Rural",7
79106,1,0.04659,0.04659,1136.62512207031,"Rural",7
79108,1,0.064379,0.064379,1136.62512207031,"Rural",7
79113,1,0.38384,0.38384,6783.75,"Rural",7
79116,1,0.08965,0.08965,6783.75,"Rural",7
80104,2,0.80171,0.400855,1773.791015625,"Rural",8
90027,1,0.43601,0.43601,2719.908203125,"Urbain",9
90048,1,0.086746,0.086746,4589.47998046875,"Rural",9
90096,1,0.081723,0.081723,1517.93371582031,"Rural",9
90097,3,1.4519,0.483966666666667,1517.93371582031,"Rural",9
90099,1,0.44868,0.44868,1517.93371582031,"Rural",9
99004,1,0.063718,0.063718,9333.3232421875,"Rural",9
99040,1,0.142321,0.142321,3406.62939453125,"Rural",9
99041,1,0.56638,0.56638,3406.62939453125,"Rural",9
99064,1,0.15869,0.15869,10837.6005859375,"Rural",9
99070,1,0.21834,0.21834,10837.6005859375,"Rural",9
99071,1,0.16841,0.16841,10837.6005859375,"Rural",9
99072,2,0.098599,0.0492995,10837.6005859375,"Rural",9
99077,1,0.33164,0.33164,9337.603515625,"Rural",9
99088,1,0.031927,0.031927,3377.49194335938,"Urbain",9
99094,2,0.19446,0.09723,4429.75830078125,"Rural",9
100037,1,0.087109,0.087109,1806.55151367188,"Rural",10
109068,1,0.33131,0.33131,13230.2138671875,"Rural",10
109073,1,0.079734,0.079734,4208.3154296875,"Rural",10
109108,2,0.146344,0.073172,11179.548828125,"Rural",10
109110,2,0.2316,0.1158,11179.548828125,"Rural",10
110089,1,0.10054,0.10054,5140.37255859375,"Rural",11
110112,1,0.068053,0.068053,4841.0009765625,"Rural",11
110113,1,0.031514,0.031514,4841.0009765625,"Rural",11
110114,1,0.041102,0.041102,4841.0009765625,"Rural",11
110115,3,0.168941,0.0563136666666667,4841.0009765625,"Rural",11
110116,2,0.082459,0.0412295,4841.0009765625,"Rural",11
110119,2,0.057622,0.028811,4841.0009765625,"Rural",11
110120,3,0.035173,0.0117243333333333,4841.0009765625,"Rural",11
110123,2,0.45135,0.225675,3255.98217773438,"Rural",11
110127,1,0.67788,0.67788,3255.98217773438,"Rural",11
110130,1,0.153991,0.153991,3255.98217773438,"Rural",11
110139,1,0.96047,0.96047,2955.91015625,"Rural",11
