hhid,secteur_residence,taille_menage
40017,Urbain,3
40018,Urbain,7
40019,Urbain,3
40020,Urbain,5
40171,Urbain,7
40172,Urbain,11
40173,Urbain,8
40174,Urbain,6
40176,Urbain,5
40177,Urbain,2
40178,Urbain,6
40180,Urbain,1
40202,Rural,3
40203,Rural,2
40204,Rural,1
40206,Rural,4
40207,Rural,6
40208,Rural,5
40209,Rural,1
40210,Urbain,1
49001,Rural,2
49003,Rural,1
49004,Rural,4
49005,Rural,12
49006,Rural,3
49007,Rural,2
49008,Rural,3
49009,Rural,1
49010,Rural,2
49011,Rural,1
49013,Rural,2
49015,Urbain,1
49017,Rural,4
49018,Rural,6
49019,Rural,6
49020,Rural,2
49023,Rural,5
49024,Rural,5
49025,Rural,2
49026,Rural,1
49027,Rural,4
49034,Rural,3
49035,Rural,7
49036,Rural,1
49037,Urbain,7
49038,Urbain,5
49039,Urbain,4
49040,Urbain,5
49041,Urbain,2
49042,Urbain,6
49043,Urbain,9
49044,Urbain,2
49045,Urbain,4
49046,Urbain,2
49049,Urbain,5
49051,Urbain,1
49052,Urbain,5
49054,Urbain,1
49055,Urbain,3
49057,Urbain,3
49058,Urbain,3
49060,Urbain,7
49063,Urbain,8
49064,Urbain,5
49065,Urbain,5
49066,Urbain,5
49067,Urbain,2
49068,Urbain,4
49069,Urbain,2
49070,Urbain,4
49071,Urbain,7
49073,Urbain,2
49075,Urbain,1
49076,Urbain,4
49077,Urbain,2
49079,Urbain,4
49080,Urbain,6
49081,Urbain,6
49082,Urbain,5
49083,Urbain,4
49085,Urbain,4
49086,Urbain,4
49088,Urbain,3
49089,Urbain,4
49090,Urbain,6
49091,Urbain,6
49093,Urbain,4
49094,Urbain,5
49095,Urbain,2
49097,Urbain,2
49098,Urbain,1
49100,Urbain,7
49101,Urbain,4
49102,Urbain,2
49103,Urbain,6
49104,Urbain,5
49105,Urbain,8
49106,Urbain,2
49108,Urbain,7
49111,Rural,4
49112,Rural,6
49113,Rural,8
49114,Rural,6
49117,Urbain,2
49118,Urbain,1
49122,Urbain,8
49124,Urbain,4
49126,Urbain,5
49129,Urbain,5
49130,Urbain,11
49131,Urbain,5
49132,Urbain,7
49133,Urbain,7
49134,Urbain,2
49135,Urbain,4
49136,Urbain,6
49137,Urbain,6
50001,Rural,6
50002,Rural,8
50003,Rural,8
50004,Rural,8
50005,Rural,8
50006,Rural,7
50007,Rural,9
50008,Rural,4
50009,Rural,16
50031,Rural,7
50032,Rural,3
50033,Rural,4
50034,Rural,13
50035,Rural,9
50036,Rural,4
50037,Rural,8
50038,Rural,6
50039,Rural,9
50040,Rural,13
50051,Rural,8
50052,Rural,5
50053,Rural,7
50054,Rural,7
50055,Rural,7
50056,Rural,6
50057,Rural,7
50058,Rural,6
50059,Rural,17
50060,Rural,3
50091,Rural,13
50092,Rural,11
50093,Rural,6
50094,Rural,5
50095,Rural,6
50096,Rural,3
50097,Rural,6
50098,Rural,5
50099,Rural,7
50100,Rural,13
50131,Rural,11
50132,Rural,4
50133,Rural,7
50134,Rural,3
50135,Rural,7
50136,Rural,16
50137,Rural,10
50138,Rural,8
50139,Rural,6
50140,Urbain,4
50151,Rural,4
50152,Rural,11
50153,Rural,3
50154,Rural,9
50155,Rural,15
50156,Rural,7
50157,Rural,13
50158,Rural,5
50159,Rural,18
50160,Rural,3
50161,Rural,13
50162,Rural,13
50163,Rural,2
50164,Rural,8
50165,Rural,3
50166,Rural,12
50167,Rural,9
50168,Rural,7
50169,Rural,9
50170,Rural,4
59003,Urbain,1
59004,Urbain,4
59005,Urbain,11
59006,Urbain,7
59007,Urbain,6
59009,Urbain,6
59010,Urbain,3
59011,Urbain,1
59012,Urbain,5
59013,Rural,3
59014,Rural,3
59015,Rural,3
59016,Rural,6
59017,Rural,3
59018,Rural,6
59021,Rural,4
59022,Rural,9
59023,Rural,7
59024,Rural,5
59025,Rural,13
59026,Rural,8
59027,Rural,6
59028,Rural,8
59030,Rural,10
59031,Rural,8
59032,Rural,18
59034,Rural,11
59035,Rural,9
59036,Rural,8
59037,Rural,9
59039,Rural,4
59040,Rural,2
59041,Rural,11
59042,Rural,9
59043,Rural,3
59044,Rural,5
59046,Rural,4
59047,Rural,7
59048,Rural,7
59049,Rural,9
59050,Rural,9
59052,Rural,7
59053,Rural,2
59054,Rural,6
59056,Rural,6
59057,Rural,3
59058,Rural,11
59059,Rural,10
59060,Rural,5
59062,Rural,4
59063,Rural,12
59064,Rural,7
59066,Rural,8
59067,Rural,5
59068,Rural,14
59069,Rural,9
59070,Rural,6
59071,Rural,4
59072,Rural,13
59073,Rural,7
59075,Rural,13
59076,Rural,9
59077,Rural,9
59078,Rural,7
59079,Rural,5
59080,Rural,5
59081,Rural,6
59083,Rural,4
59084,Rural,3
59085,Rural,4
59086,Rural,11
59087,Rural,7
59088,Rural,9
59089,Rural,4
59090,Rural,7
59092,Rural,4
59093,Rural,8
59094,Rural,3
59095,Rural,8
59097,Rural,3
59098,Rural,4
59099,Rural,12
59101,Rural,2
59102,Rural,2
59103,Rural,9
59104,Rural,3
59105,Rural,4
59106,Rural,7
59108,Rural,3
59110,Rural,5
59111,Rural,5
59112,Rural,9
59113,Rural,5
59115,Rural,13
59116,Rural,6
59117,Rural,6
59118,Rural,9
59119,Rural,4
59120,Rural,5
59121,Rural,13
59122,Rural,8
59124,Rural,11
59125,Rural,13
59127,Rural,9
59128,Rural,10
59129,Rural,7
59130,Rural,4
59132,Rural,12
59133,Rural,8
59135,Rural,7
59136,Rural,7
59137,Rural,7
59138,Rural,6
59140,Rural,6
59142,Rural,10
59143,Rural,10
59144,Rural,5
59145,Rural,10
59147,Rural,4
59148,Rural,1
59149,Rural,5
59150,Rural,5
59151,Rural,9
59153,Rural,13
59154,Rural,4
59155,Rural,5
59156,Rural,4
59157,Rural,4
59158,Rural,5
59159,Rural,5
59160,Rural,22
59161,Rural,10
59162,Rural,7
59163,Rural,16
59164,Rural,17
59165,Rural,10
59168,Rural,9
59169,Rural,1
59170,Rural,6
59171,Rural,5
59172,Rural,2
59173,Rural,5
59174,Rural,12
59175,Rural,10
59176,Rural,7
59179,Rural,9
59180,Rural,5
59182,Rural,3
59184,Rural,9
59185,Rural,6
59186,Rural,5
59187,Rural,4
59188,Rural,4
59189,Rural,7
59190,Rural,5
59191,Rural,10
59192,Rural,7
59212,Rural,4
59214,Rural,7
60001,Rural,1
60002,Rural,5
60004,Rural,1
60005,Rural,3
60006,Rural,4
60008,Rural,1
60009,Rural,3
60010,Rural,9
60031,Rural,5
60032,Urbain,2
60033,Urbain,8
60034,Rural,10
60035,Rural,8
60037,Rural,2
60038,Rural,6
60039,Rural,4
60040,Rural,5
60041,Rural,6
60042,Rural,1
60043,Rural,5
60044,Rural,6
60045,Rural,4
60047,Rural,2
60048,Rural,2
60049,Rural,6
60050,Rural,7
60051,Rural,6
60052,Rural,5
60053,Rural,4
60054,Rural,3
60055,Rural,3
60056,Rural,1
60057,Rural,8
60058,Rural,5
60059,Rural,2
60060,Urbain,5
69001,Rural,3
69004,Rural,5
69005,Rural,6
69006,Rural,7
69007,Rural,4
