"hhid","cropcode","crop_name","superficie_ha","prod_kg","rendement_kg_ha","state"
49004,1080,"Maïs",0.0153,153,10000,4
49005,1080,"Maïs",0.0018,18,10000,4
49006,1080,"Maïs",0.0036,36,10000,4
49007,1080,"Maïs",0.1476,1476,10000,4
49008,1080,"Maïs",0.0072,72,10000,4
49010,1080,"Maïs",0.0576,576,10000,4
49013,1080,"Maïs",0.0144,144,10000,4
49018,1080,"Maïs",0.0144,144,10000,4
49019,1080,"Maïs",0.0162,162,10000,4
49023,1080,"Maïs",0.0036,36,10000,4
49025,1080,"Maïs",0.00315,31.5,10000,4
49026,1080,"Maïs",0.009,90,10000,4
49027,1080,"Maïs",0.0288,288,10000,4
49034,1080,"Maïs",0.000699228000640869,6.99228000640869,10000,4
49035,1080,"Maïs",0.0086327995300293,86.327995300293,10000,4
49036,1080,"Maïs",0.0018,18,10000,4
49040,1080,"Maïs",0.0018,18,10000,4
49043,1080,"Maïs",0.0036,36,10000,4
49046,1080,"Maïs",0.000699228000640869,6.99228000640869,10000,4
49051,1080,"Maïs",0.0054,54,10000,4
49083,1080,"Maïs",0.0018,18,10000,4
49090,1080,"Maïs",0.00627839965820313,62.7839965820312,10000,4
49093,1080,"Maïs",0.0018,18,10000,4
49094,1080,"Maïs",0.000711600017547607,7.11600017547607,10000,4
49095,1080,"Maïs",0.0018,18,10000,4
49097,1080,"Maïs",0.0018,18,10000,4
49100,1080,"Maïs",0.0108,108,10000,4
49103,1080,"Maïs",0.0144,144,10000,4
49104,1080,"Maïs",0.0099,99,10000,4
49105,1080,"Maïs",0.0072,72,10000,4
49108,1080,"Maïs",0.0216,216,10000,4
49111,1080,"Maïs",0.0216,216,10000,4
49112,1080,"Maïs",0.009,90,10000,4
49113,1080,"Maïs",0.0378,378,10000,4
49114,1080,"Maïs",0.0072,72,10000,4
49129,1080,"Maïs",0.09,900,10000,4
49130,1080,"Maïs",0.0054,54,10000,4
49132,1080,"Maïs",0.1278,1278,10000,4
49133,1080,"Maïs",0.036,360,10000,4
49134,1080,"Maïs",0.0108,108,10000,4
49135,1080,"Maïs",0.0324,324,10000,4
49136,1080,"Maïs",0.0972,972,10000,4
49137,1080,"Maïs",0.0045,45,10000,4
50003,1080,"Maïs",0.0738,738,10000,5
50004,1080,"Maïs",0.3924,3924,10000,5
50005,1080,"Maïs",0.08,800,10000,5
50006,1080,"Maïs",0.13,1300,10000,5
50007,1080,"Maïs",0.0126,126,10000,5
50008,1080,"Maïs",0.0288,288,10000,5
50009,1080,"Maïs",0.23,2300,10000,5
50031,1080,"Maïs",0.16,1600,10000,5
50032,1080,"Maïs",0.03,300,10000,5
50033,1100,"Millet",0.2,2000,10000,5
50036,1080,"Maïs",0.05,500,10000,5
50038,1080,"Maïs",0.02,200,10000,5
50039,1100,"Millet",0.1,1000,10000,5
50040,1100,"Millet",0.04,400,10000,5
50051,1080,"Maïs",0.00332400012016296,33.2400012016296,10000,5
50051,1100,"Millet",0.05,500,10000,5
50052,1100,"Millet",0.18,1800,10000,5
50054,1100,"Millet",0.17,1700,10000,5
50056,1100,"Millet",0.12,1200,10000,5
50058,1100,"Millet",0.08,800,10000,5
50059,1100,"Millet",0.25,2500,10000,5
50091,1080,"Maïs",0.2,2000,10000,5
50091,1100,"Millet",0.03,300,10000,5
50093,1100,"Millet",0.00317399990558624,31.7399990558624,10000,5
50095,1100,"Millet",0.01,100,10000,5
50099,1080,"Maïs",0.04,400,10000,5
50100,1100,"Millet",0.02,200,10000,5
50131,1080,"Maïs",0.1512,1512,10000,5
50132,1100,"Millet",0.02,200,10000,5
50133,1080,"Maïs",0.22,2200,10000,5
50133,1100,"Millet",0.04,400,10000,5
50134,1080,"Maïs",0.16,1600,10000,5
50134,1100,"Millet",0.08,800,10000,5
50135,1080,"Maïs",0.06,600,10000,5
50135,1100,"Millet",0.02,200,10000,5
50136,1080,"Maïs",0.234,2340,10000,5
50137,1080,"Maïs",0.06,600,10000,5
50138,1080,"Maïs",0.36,3600,10000,5
50138,1100,"Millet",0.02,200,10000,5
50139,1080,"Maïs",0.0288,288,10000,5
50140,1080,"Maïs",0.03,300,10000,31
50151,1080,"Maïs",0.09,900,10000,5
50154,1080,"Maïs",0.054,540,10000,5
50156,1080,"Maïs",0.03,300,10000,5
50157,1080,"Maïs",0.108,1080,10000,5
50158,1080,"Maïs",0.018,180,10000,5
50159,1080,"Maïs",0.0792,792,10000,5
50161,1100,"Millet",0.13,1300,10000,5
50162,1100,"Millet",0.13,1300,10000,5
50163,1100,"Millet",0.23,2300,10000,5
50164,1100,"Millet",0.12,1200,10000,5
50165,1100,"Millet",0.08,800,10000,5
50167,1100,"Millet",0.17,1700,10000,5
50168,1100,"Millet",0.06,600,10000,5
59005,1080,"Maïs",0.13,1300,10000,5
59006,1080,"Maïs",0.05,500,10000,5
59012,1080,"Maïs",0.01,100,10000,5
59013,1080,"Maïs",0.005,50,10000,5
59014,1080,"Maïs",0.02,200,10000,5
59015,1080,"Maïs",0.04,400,10000,5
59016,1080,"Maïs",0.24,2400,10000,5
59017,1080,"Maïs",0.04,400,10000,5
59018,1080,"Maïs",0.04,400,10000,5
59021,1080,"Maïs",0.0036,36,10000,5
59022,1080,"Maïs",0.0072,72,10000,5
59024,1080,"Maïs",0.09,900,10000,5
59025,1100,"Millet",0.05,500,10000,5
59026,1100,"Millet",0.32,3200,10000,5
