"hhid","zone","state","lga","sector","ea","cropcode","crop_name","crop_type","wt_wave4","area_type"
19137,4,1,111,2,118,2190,"pumpkin","autres",5772.70556640625,"rural"
19138,4,1,111,2,118,1080,"maize","céréale",5772.70556640625,"rural"
19139,4,1,111,2,118,1080,"maize","céréale",5772.70556640625,"rural"
19140,4,1,111,2,118,1080,"maize","céréale",5772.70556640625,"rural"
19140,4,1,111,2,118,2120,"okro","autres",5772.70556640625,"rural"
19140,4,1,111,2,118,2141,"pepper, sweet/bell (tatashe)","autres",5772.70556640625,"rural"
19140,4,1,111,2,118,2190,"pumpkin","autres",5772.70556640625,"rural"
19141,4,1,111,2,118,2060,"cucumber","autres",5772.70556640625,"rural"
19141,4,1,111,2,118,2080,"garden egg","autres",5772.70556640625,"rural"
19141,4,1,111,2,118,2141,"pepper, sweet/bell (tatashe)","autres",5772.70556640625,"rural"
19141,4,1,111,2,118,9006,"yellow pepper","autres",5772.70556640625,"rural"
19143,4,1,111,2,118,1080,"maize","céréale",5772.70556640625,"rural"
19143,4,1,111,2,118,1123,"water yam","tubercule",5772.70556640625,"rural"
19143,4,1,111,2,118,2120,"okro","autres",5772.70556640625,"rural"
19143,4,1,111,2,118,2190,"pumpkin","autres",5772.70556640625,"rural"
19144,4,1,111,2,118,1080,"maize","céréale",5772.70556640625,"rural"
19159,4,1,112,2,556,1020,"cassava","tubercule",2568.56591796875,"rural"
19160,4,1,112,2,556,1121,"yam, white","tubercule",2568.56591796875,"rural"
19163,4,1,112,2,556,1080,"maize","céréale",2568.56591796875,"rural"
19163,4,1,112,2,556,2190,"pumpkin","autres",2568.56591796875,"rural"
19164,4,1,112,2,556,1080,"maize","céréale",2568.56591796875,"rural"
19164,4,1,112,2,556,2190,"pumpkin","autres",2568.56591796875,"rural"
19166,4,1,112,2,556,1080,"maize","céréale",2568.56591796875,"rural"
19166,4,1,112,2,556,1121,"yam, white","tubercule",2568.56591796875,"rural"
19166,4,1,112,2,556,2190,"pumpkin","autres",2568.56591796875,"rural"
19167,4,1,112,2,556,1080,"maize","céréale",2568.56591796875,"rural"
19168,4,1,112,2,556,1080,"maize","céréale",2568.56591796875,"rural"
19169,4,1,113,2,6,1020,"cassava","tubercule",710.657043457031,"rural"
19170,4,1,113,2,6,1020,"cassava","tubercule",710.657043457031,"rural"
19170,4,1,113,2,6,2190,"pumpkin","autres",710.657043457031,"rural"
19173,4,1,113,2,6,1124,"yam, three leaved","tubercule",710.657043457031,"rural"
19174,4,1,113,2,6,1020,"cassava","tubercule",710.657043457031,"rural"
19174,4,1,113,2,6,1080,"maize","céréale",710.657043457031,"rural"
19174,4,1,113,2,6,2190,"pumpkin","autres",710.657043457031,"rural"
19175,4,1,113,2,6,1080,"maize","céréale",710.657043457031,"rural"
19177,4,1,113,2,6,1080,"maize","céréale",710.657043457031,"rural"
19179,4,1,113,2,6,1020,"cassava","tubercule",710.657043457031,"rural"
19181,4,1,113,2,44,1080,"maize","céréale",400,"rural"
19181,4,1,113,2,44,2190,"pumpkin","autres",400,"rural"
19182,4,1,113,2,44,1020,"cassava","tubercule",400,"rural"
19182,4,1,113,2,44,2190,"pumpkin","autres",400,"rural"
19183,4,1,113,2,44,1090,"melon/egusi","autres",400,"rural"
19185,4,1,113,2,44,1020,"cassava","tubercule",400,"rural"
19186,4,1,113,2,44,1080,"maize","céréale",400,"rural"
19187,4,1,113,2,44,1080,"maize","céréale",400,"rural"
19187,4,1,113,2,44,1090,"melon/egusi","autres",400,"rural"
19188,4,1,113,2,44,1020,"cassava","tubercule",400,"rural"
