"hhid","zone","state","lga","sector","ea","area_type","wt_wave4","used_inorganic","used_npk","used_urea","used_organic","used_pesticide","used_herbicide","used_any_fertilizer","n_plots"
19168,4,1,112,2,556,"rural",2568.56591796875,1,1,0,2,2,2,1,4
19169,4,1,113,2,6,"rural",710.657043457031,2,0,0,2,2,2,0,2
19170,4,1,113,2,6,"rural",710.657043457031,2,0,0,2,2,2,0,1
19173,4,1,113,2,6,"rural",710.657043457031,2,0,0,2,2,2,0,3
19174,4,1,113,2,6,"rural",710.657043457031,2,0,0,2,2,2,0,3
19175,4,1,113,2,6,"rural",710.657043457031,2,0,0,2,2,2,0,1
19177,4,1,113,2,6,"rural",710.657043457031,2,0,0,2,2,2,0,1
19178,4,1,113,2,6,"rural",710.657043457031,2,0,0,2,2,2,0,3
19179,4,1,113,2,6,"rural",710.657043457031,2,0,0,2,2,2,0,2
19180,4,1,113,2,6,"rural",710.657043457031,2,0,0,2,2,2,0,2
19181,4,1,113,2,44,"rural",400,2,0,0,2,2,2,0,1
19182,4,1,113,2,44,"rural",400,2,0,0,2,2,2,0,4
19183,4,1,113,2,44,"rural",400,2,0,0,2,2,2,0,1
19184,4,1,113,2,44,"rural",400,2,0,0,2,2,2,0,3
19185,4,1,113,2,44,"rural",400,2,0,0,2,2,2,0,4
19186,4,1,113,2,44,"rural",400,2,0,0,2,2,2,0,3
19187,4,1,113,2,44,"rural",400,2,0,0,2,2,2,0,2
19188,4,1,113,2,44,"rural",400,2,0,0,2,2,2,0,2
19191,4,1,113,2,44,"rural",400,2,0,0,2,2,2,0,2
19192,4,1,113,2,44,"rural",400,2,0,0,2,2,2,0,3
19193,4,1,113,2,284,"rural",456.798797607422,1,0,1,2,2,2,1,2
19194,4,1,113,2,284,"rural",456.798797607422,2,0,0,2,2,2,0,2
19195,4,1,113,2,284,"rural",456.798797607422,2,0,0,2,2,2,0,2
19202,4,1,113,2,284,"rural",456.798797607422,2,0,0,2,2,2,0,1
19205,4,1,115,1,176,"urban",3425.80493164062,2,0,0,2,2,2,0,1
19206,4,1,115,1,176,"urban",3425.80493164062,2,0,0,2,2,2,0,2
19207,4,1,115,1,176,"urban",3425.80493164062,2,0,0,2,2,2,0,2
19208,4,1,115,1,176,"urban",3425.80493164062,2,0,0,2,2,2,0,1
19209,4,1,115,1,176,"urban",3425.80493164062,2,0,0,1,2,2,1,1
19211,4,1,115,1,176,"urban",3425.80493164062,2,0,0,2,2,2,0,2
19213,4,1,115,1,176,"urban",3425.80493164062,2,0,0,2,2,2,0,2
19214,4,1,115,1,176,"urban",3425.80493164062,2,0,0,2,2,2,0,2
19215,4,1,115,1,176,"urban",3425.80493164062,2,0,0,2,2,2,0,1
19230,4,1,117,2,800,"rural",2645.09692382812,1,1,0,1,2,2,1,2
19231,4,1,117,2,800,"rural",2645.09692382812,1,1,0,2,2,2,1,3
19232,4,1,117,2,800,"rural",2645.09692382812,2,0,0,1,2,2,1,2
19235,4,1,117,2,800,"rural",2645.09692382812,2,0,0,2,2,2,0,3
19236,4,1,117,2,800,"rural",2645.09692382812,2,0,0,2,2,2,0,3
19238,4,1,117,2,800,"rural",2645.09692382812,1,1,1,2,2,2,1,2
19239,4,1,117,2,800,"rural",2645.09692382812,2,0,0,1,2,2,1,3
19250,4,1,104,2,1020,"rural",5403.970703125,2,0,0,2,2,2,0,3
19254,4,1,107,2,1322,"rural",5029.37158203125,1,0,1,1,2,2,1,1
19266,4,1,112,2,266,"rural",2065.22998046875,1,1,0,2,2,2,1,1
19269,4,1,113,2,6,"rural",710.657043457031,2,0,0,2,2,2,0,2
19280,4,1,117,2,800,"rural",2645.09692382812,2,1,0,2,2,2,0,3
20001,2,2,209,2,1040,"rural",2253.91088867188,2,0,0,2,2,2,0,2
20002,2,2,209,2,1040,"rural",2253.91088867188,1,1,1,2,2,1,1,2
20003,2,34,3401,2,0,"rural",2253.91088867188,2,0,0,2,2,2,0,2
20005,2,2,209,2,1040,"rural",2253.91088867188,2,0,0,2,2,2,0,3
20006,2,2,209,2,1040,"rural",2253.91088867188,1,1,1,2,2,1,1,2
20007,2,2,209,2,1040,"rural",2253.91088867188,2,0,0,2,2,1,0,2
20008,2,2,209,2,1040,"rural",2253.91088867188,2,0,1,2,2,2,0,3
20009,2,34,209,2,0,"rural",2253.91088867188,1,1,1,2,2,2,1,3
20010,2,2,209,2,1040,"rural",2253.91088867188,2,0,0,2,2,2,0,2
20041,2,2,203,2,1224,"rural",1473.34387207031,2,0,0,2,2,1,0,2
20042,2,2,203,2,1224,"rural",1473.34387207031,2,0,0,2,2,1,0,2
20043,2,2,203,2,1224,"rural",1473.34387207031,2,0,0,2,2,1,0,1
20044,2,2,203,2,1224,"rural",1473.34387207031,2,0,0,2,2,1,0,2
20045,2,2,203,2,1224,"rural",1473.34387207031,2,0,0,2,2,2,0,2
20046,2,2,203,2,1224,"rural",1473.34387207031,2,0,1,2,2,1,0,3
20047,2,2,203,2,1224,"rural",1473.34387207031,2,1,0,2,2,1,0,2
20048,2,2,203,2,1224,"rural",1473.34387207031,2,0,1,2,2,1,0,2
20049,2,2,203,2,1224,"rural",1473.34387207031,2,1,1,2,2,2,0,2
20050,2,2,203,2,1224,"rural",1473.34387207031,2,0,0,2,2,2,0,1
20061,2,2,210,2,1300,"rural",2485.0859375,2,1,1,2,2,1,0,2
20062,2,2,210,2,1300,"rural",2485.0859375,2,1,1,2,2,1,0,3
20063,2,2,210,2,1300,"rural",2485.0859375,2,1,0,2,2,1,0,3
20064,2,2,210,2,1300,"rural",2485.0859375,2,0,0,2,2,2,0,5
20065,2,2,210,2,1300,"rural",2485.0859375,2,0,0,2,2,1,0,2
20066,2,2,210,2,1300,"rural",2485.0859375,2,0,0,2,1,1,0,2
20068,2,2,210,2,1300,"rural",2485.0859375,2,0,0,2,2,1,0,3
20069,2,2,210,2,1300,"rural",2485.0859375,2,0,1,2,2,1,0,3
20070,2,2,210,2,1300,"rural",2485.0859375,2,1,0,2,2,1,0,2
20091,2,2,207,2,1302,"rural",1106.5712890625,2,0,1,2,2,2,0,3
20092,2,2,207,2,1302,"rural",1106.5712890625,2,0,0,2,2,1,0,3
20093,2,2,207,2,1302,"rural",1106.5712890625,2,1,1,2,2,1,0,2
20094,2,2,207,2,1302,"rural",1106.5712890625,2,0,0,2,2,1,0,2
20095,2,2,207,2,1302,"rural",1106.5712890625,2,1,0,2,1,1,0,2
20096,2,2,207,2,1302,"rural",1106.5712890625,2,1,0,2,2,1,0,2
20097,2,2,207,2,1302,"rural",1106.5712890625,2,0,1,2,2,1,0,2
20098,2,2,207,2,1302,"rural",1106.5712890625,2,1,1,2,2,1,0,5
20099,2,2,207,2,1302,"rural",1106.5712890625,2,0,0,2,2,1,0,2
